term,scenario,mean_estimate,sd_estimate,median_estimate,mean_p,prop_significant
Intercept,Low,-1.962954455628591,0.08213915685202311,-1.955866703861383,6.068644340842985e-132,1
Intercept,Intermediate,-1.983953304588429,0.08154078419037938,-1.978486962740654,2.9120308232946257e-91,1
Intercept,High,-2.001494394335019,0.08489555862860547,-1.987799443271868,1.0194919348675296e-59,1
Corrected age,Low,0.005874723958091991,0.00118928558933025,0.005662182441444886,0.06883904195441962,0.41
Corrected age,Intermediate,0.010402956222417239,0.002400137168962847,0.010404862640304949,0.1251867673252082,0.23
Corrected age,High,0.018164057839875472,0.004814625505447278,0.017952462305888303,0.200828516088721,0.03
Diversification rates,Low,-0.14174357294838058,0.07088896803692982,-0.13815196899168095,0.4724344926118344,0
Diversification rates,Intermediate,-0.1163986527464456,0.07316205816737052,-0.11488679609960528,0.5670368829241549,0
Diversification rates,High,-0.10297315347260874,0.07618872997450374,-0.10001305034536648,0.628417315522821,0
