replicate,K,p_value_K,lambda,logL,p_value_lambda
1,0.02245125823235473,0.01,0.4236704141864773,678.127721463306,9.561095393943237e-6
2,0.02328602057288457,0.01,0.4575150938829874,691.4403428374637,2.1179731640832695e-5
3,0.02422314730322152,0.01,0.3549099000984842,702.952009566452,0.00232708693879004
4,0.02271253876801981,0.01,0.4233466146083624,707.8652930044827,5.454204813356378e-4
5,0.02755388395812041,0.01,0.526635253747741,677.7166951272961,6.923580577800432e-7
6,0.02526801110433806,0.01,0.3820572682930144,695.03490904406,3.0817917073907225e-5
7,0.02332141660945841,0.01,0.2987416253698776,723.1697284595325,4.105489722591406e-4
8,0.02565576085496386,0.01,0.468520376026413,717.3632645727187,2.1996113826825225e-5
9,0.02029079121843339,0.01,0.3698248308135004,725.3311707829998,2.860635426679074e-4
10,0.0201015660186139,0.02,0.3917157074766271,744.2376767015421,7.36223575664155e-5
11,0.02166953722219591,0.01,0.497999941857151,745.0820571663926,1.3643094300609384e-5
12,0.0184320662295774,0.01,0.27989623207270836,742.7228667036875,6.652856123128642e-4
13,0.02759408554131694,0.01,0.4540979172204826,724.8583253019383,1.961157961542703e-5
14,0.0212104880110293,0.01,0.2441543210208844,737.3726621595533,0.00114480427427701
15,0.02495492042151077,0.01,0.5111120455334367,732.8958876823804,2.755769746918345e-6
16,0.02150134217383373,0.01,0.41015974112820713,732.9452845120695,3.899612301793622e-5
17,0.02221433506826636,0.01,0.30472112875097446,701.4539777457003,3.410610149520619e-4
18,0.02441555888377986,0.01,0.2528058781405088,732.4037168886994,3.290682785834527e-4
19,0.02062501557586047,0.01,0.4679107968573593,719.9708175933295,2.2151478361499743e-5
20,0.02025447028510324,0.01,0.3971582344548792,717.1663600544443,3.541032951095997e-5
21,0.02778084666436472,0.01,0.3728408464879364,777.4828822585005,2.1228706768892437e-4
22,0.02006952325679639,0.01,0.4133634184282806,707.4607451153427,2.4411565191925576e-4
23,0.02330256280731905,0.01,0.20868028159589636,711.5162985742718,0.00149953313042393
24,0.01928920473378696,0.01,0.4541090308375196,735.1438519609837,2.3904312299196852e-5
25,0.01893049887494881,0.01,0.44165896729937953,737.1331036530032,7.578908322992904e-6
26,0.02535731085055865,0.01,0.4776958731291932,703.3343372984064,9.926546948618674e-6
27,0.02142846453656537,0.01,0.3361147849858972,690.4129877781238,0.00132114115619914
28,0.02291253998942023,0.01,0.4036916651855296,764.2861338381331,1.231900103783456e-4
29,0.02809847099442707,0.01,0.5468423424582557,697.2385202208184,2.192097206640028e-6
30,0.02815303093029158,0.01,0.5894650882146476,703.3494461991943,3.814912259894941e-6
31,0.02189327887782877,0.01,0.15680318116928604,683.1532127913551,0.01952377362246108
32,0.0198444936560529,0.01,0.2931464702136279,691.4394430807668,6.989105024601767e-4
33,0.01726481686627797,0.01,0.18026429409040623,708.9316338828396,0.00386848133562539
34,0.02011571732786914,0.01,0.2889967731923973,697.0753077887016,3.4873076949919646e-4
35,0.02286265201406004,0.01,0.3884198228242456,696.3223989585038,5.539495362546865e-4
36,0.02170770108734098,0.01,0.43426116609983306,700.6305808651805,7.279927589096594e-4
37,0.02242985622725947,0.01,0.3771894234621614,761.5730353936988,3.874657290630988e-5
38,0.0205534512534148,0.01,0.3530308270740745,699.9522525519376,1.2513499564066542e-4
39,0.02557089430698668,0.01,0.5888502748445696,707.0801813754006,1.766010897175345e-7
40,0.01769979248669431,0.01,0.23930979890413617,747.0975752303766,0.00141494251981095
41,0.01650354312300735,0.01,0.16816003560864837,762.4041156013968,0.01392618123823556
42,0.02165108320564603,0.01,0.3046490761782278,705.7249494596117,0.00187591215668232
43,0.02352565733557265,0.01,0.4015035481295507,690.6388749408479,2.047601971462647e-5
44,0.02861380075776129,0.01,0.38203899625469145,705.690319042591,3.3155082981322736e-4
45,0.02162258048715017,0.01,0.3143902693044509,692.4677587485312,5.542786758853392e-4
46,0.02012892292624408,0.01,0.291603583376381,754.6526761410801,0.00186601283331503
47,0.0217125723316591,0.01,0.6375971871772788,715.5394084009513,4.52220105964184e-6
48,0.02242572540647277,0.01,0.409908688803312,701.1276120112968,3.3371283662904475e-5
49,0.02380927571397603,0.01,0.4046940409933886,724.4460987726106,8.13323945966361e-5
50,0.02661171419545545,0.01,0.4220653149602619,740.6247755823233,3.291074743888748e-7
51,0.02374941041497852,0.01,0.5104779524776757,744.6859648274794,5.415734979973266e-7
52,0.02401353320546694,0.01,0.4508058379674932,684.9883864556732,2.1753825929501444e-5
53,0.0206928368131789,0.01,0.1920459652220428,728.9439645809407,0.00428012314806443
54,0.0194246444638819,0.01,0.22309448701937584,727.3886981038352,0.00147261457992703
55,0.02237799343945352,0.01,0.3109475515042823,733.0786904860374,0.00101789709810352
56,0.02240459136496229,0.01,0.28137257244536346,744.0750428176912,0.00461306871577282
57,0.02204854775419267,0.01,0.391833351328101,703.4804898733651,1.7097167636158549e-4
58,0.02264495528116754,0.01,0.35943425599889856,689.8217085983529,1.09351563939021e-4
59,0.02282982607822413,0.01,0.31885072040677,669.7397113051029,0.00111894466566665
60,0.03118909337286231,0.01,0.509475029924809,747.197790367112,9.10869748448494e-7
61,0.0305714673930664,0.01,0.5707137995373748,728.1995349252361,2.700540676786716e-6
62,0.02326586152854748,0.01,0.2996589004027377,727.843812071661,6.281251858640558e-5
63,0.02036636429399833,0.01,0.24571238014925592,710.2744622501723,0.00178273869603574
64,0.02075398868111517,0.01,0.3955378859378052,745.6027305539569,8.309799532600687e-6
65,0.02432311135381782,0.01,0.35243135657138525,710.5936543397629,5.435611088671387e-4
66,0.02056005593427571,0.01,0.28599394497011194,750.9678327187951,0.00254509002474064
67,0.02195223714143112,0.01,0.4384826975201706,738.3554506061466,8.020197036111758e-5
68,0.02341199686922235,0.01,0.3130816896868279,656.1980699724622,4.935496760588924e-5
69,0.02893095297983694,0.01,0.46375355070260427,682.4743469404564,2.150565802972655e-5
70,0.02806858638337906,0.01,0.4939031367605719,727.7428561030083,1.7302093147087572e-6
71,0.02711191754493437,0.01,0.4008848928834721,710.7598589033594,7.021107519174107e-5
72,0.01765349735392945,0.01,0.4412860123666485,742.1578568915763,4.69936746069301e-5
73,0.02352317834886319,0.01,0.4615498709609442,703.640283933069,4.38019705315716e-5
74,0.0212275688363337,0.01,0.3698485602524063,728.5934138649852,6.435219729211595e-5
75,0.02949223952514883,0.01,0.4732293302687432,724.5290013620593,2.5756258724013732e-5
76,0.02060293535510196,0.01,0.3469488394450134,735.8438308430996,1.7395046347908015e-4
77,0.02779240938567866,0.01,0.5882385355932631,758.0199067673173,2.7940613309070033e-7
78,0.02064067573496984,0.01,0.3677282471986979,709.8872577894024,1.4870149505762496e-4
79,0.02099886779216267,0.01,0.5088831995293207,699.0215325888321,1.0039268653819063e-5
80,0.03220566635821285,0.01,0.8140954125764505,725.9644535302141,6.619170262227972e-9
81,0.02356605511137107,0.01,0.6023836927712036,742.0969990112228,4.121739709608099e-4
82,0.0255981246379646,0.01,0.3986193590577258,722.9613365296652,3.4291059157448445e-5
83,0.02677670699516373,0.01,0.4895430482726936,718.147703687393,2.34226511800655e-5
84,0.02601947241685286,0.01,0.6379406008752083,718.9252925607373,6.763629908015803e-9
85,0.01971730742254137,0.01,0.3749967636333843,742.8938524064044,2.199592664153752e-4
86,0.02298003989526812,0.01,0.4063391688914491,697.7605273215011,2.4114156861453795e-5
87,0.02976669151300573,0.01,0.5113058614213098,710.9632954514097,5.409579286066739e-6
88,0.02484487450291353,0.01,0.4393745544505568,733.5857909709034,3.94424420824517e-5
89,0.02085226893055084,0.01,0.34508110069294484,726.157678551913,1.434657852435406e-4
90,0.02194301420331914,0.01,0.5908182706033253,721.5714231212128,1.1293086855881142e-5
91,0.02188395043787733,0.01,0.34898084789696554,704.6090781245796,2.62519950984658e-4
92,0.03274509469388066,0.01,0.5837685213143956,714.6214761078654,1.7630265736329514e-7
93,0.02699314613963605,0.01,0.33296619147848056,714.5787646085141,6.18901434741254e-4
94,0.02234600371775463,0.01,0.3833588854798754,740.0781776517142,3.973562370215248e-5
95,0.02912635124097895,0.01,0.4784972586749731,729.5884477966215,3.875040999192487e-6
96,0.0267045617275779,0.01,0.42690220820877345,674.8280350996515,1.3053472209965884e-4
97,0.02094692775945104,0.01,0.259071802031039,697.9135295551573,0.00361039118495169
98,0.02098024100833637,0.01,0.186672653408001,708.0475987415612,0.04096668696294086
99,0.02211308097139669,0.01,0.5710750018844328,685.8979929368477,4.00943061019565e-5
100,0.02717086749906804,0.01,0.3889779983878314,741.7800591420923,5.696738420606946e-5
