term,scenario,mean_estimate,sd_estimate,median_estimate,mean_p,prop_significant
Intercept,Low,2.6095584243698866,0.030837840280685796,2.6164314744618755,4.461284888997977e-28,1
Intercept,Intermediate,2.66507087970691,0.023422656472069037,2.6716334168904767,9.640833870042973e-22,1
Intercept,High,2.804247262280097,0.025647835816034935,2.810898229481152,6.613275593100076e-16,1
Richness,Low,0.007018343089274732,0.001553551834274898,0.006805105388288886,0.7439767917634446,0
Richness,Intermediate,0.007732258155823439,0.0016443872661924843,0.007490927441793031,0.7206333489473414,0
Richness,High,0.009692527754546649,0.0017954696591362506,0.009427783439419711,0.6576804879694242,0
Corrected age,Low,-0.0013505625891711273,0.0011584950586776247,-0.0010180300648573947,0.8370195676252602,0
Corrected age,Intermediate,-0.00566436647601921,0.0017621259066415494,-0.005058828615557285,0.6750756371478793,0
Corrected age,High,-0.023997029832879255,0.003972050365216466,-0.022743471753254304,0.43861487365140694,0
lambda,Low,-0.11049527699223163,0.02625847326147933,-0.10943194812399978,0.7378568937710918,0
lambda,Intermediate,-0.15666854687633974,0.01959359620065709,-0.15624634719100416,0.6501405547446322,0
lambda,High,-0.25932136701338854,0.01954343559155635,-0.25982605419714516,0.4770210491109241,0
