term,scenario,mean_estimate,sd_estimate,median_estimate,mean_p,prop_significant
Intercept,Low,-1.82643020783224,0.06753470117899842,-1.8167998327596164,1.2645966930390045e-136,1
Intercept,Intermediate,-1.8438638125899764,0.06666895166980545,-1.8334489358534205,1.6147798375161152e-92,1
Intercept,High,-1.871499428195137,0.0684335435985628,-1.864834078713368,2.892828750614522e-60,1
Corrected age,Low,0.006305797863039415,0.0011179204692546648,0.0062223783209901795,0.031582361622425066,0.79
Corrected age,Intermediate,0.010765314364585206,0.0018837009427272802,0.010892720481875034,0.08003787758281428,0.32
Corrected age,High,0.020072682135024257,0.003906363202867098,0.019891705356601112,0.12376245646998162,0.09
Diversification rates,Low,-0.10201743743629015,0.059196836507810054,-0.10004805506281662,0.5897747560957601,0
Diversification rates,Intermediate,-0.08285021694578024,0.059449770348962594,-0.08208710776722847,0.6675529963085376,0
Diversification rates,High,-0.05806665602821981,0.06320186608267088,-0.054969730270316305,0.7444111976825145,0
