replicate,lambda,logL,P
1,0.4236704141864773,678.127721463306,9.561095393943235e-6
2,0.4575150938829874,691.4403428374637,2.1179731640832695e-5
3,0.3549099000984842,702.952009566452,0.0023270869387900413
4,0.42334661460836237,707.8652930044827,5.454204813356378e-4
5,0.526635253747741,677.7166951272961,6.923580577800432e-7
6,0.3820572682930144,695.03490904406,3.0817917073907225e-5
7,0.2987416253698776,723.1697284595325,4.105489722591406e-4
8,0.468520376026413,717.3632645727187,2.1996113826825225e-5
9,0.36982483081350037,725.3311707829998,2.860635426679074e-4
10,0.3917157074766271,744.2376767015421,7.36223575664155e-5
11,0.497999941857151,745.0820571663926,1.3643094300609383e-5
12,0.27989623207270836,742.7228667036875,6.652856123128642e-4
13,0.4540979172204826,724.8583253019383,1.9611579615427034e-5
14,0.24415432102088439,737.3726621595533,0.0011448042742770103
15,0.5111120455334367,732.8958876823804,2.755769746918345e-6
16,0.41015974112820713,732.9452845120695,3.899612301793622e-5
17,0.30472112875097446,701.4539777457003,3.410610149520619e-4
18,0.2528058781405088,732.4037168886994,3.290682785834527e-4
19,0.4679107968573593,719.9708175933295,2.2151478361499743e-5
20,0.39715823445487924,717.1663600544443,3.541032951095997e-5
21,0.3728408464879364,777.4828822585005,2.1228706768892437e-4
22,0.4133634184282806,707.4607451153427,2.4411565191925576e-4
23,0.20868028159589636,711.5162985742718,0.0014995331304239327
24,0.4541090308375196,735.1438519609837,2.3904312299196852e-5
25,0.44165896729937953,737.1331036530032,7.578908322992904e-6
26,0.4776958731291932,703.3343372984064,9.926546948618674e-6
27,0.3361147849858972,690.4129877781238,0.001321141156199141
28,0.40369166518552957,764.2861338381331,1.231900103783456e-4
29,0.5468423424582557,697.2385202208184,2.192097206640028e-6
30,0.5894650882146476,703.3494461991943,3.814912259894941e-6
31,0.15680318116928604,683.1532127913551,0.01952377362246108
32,0.2931464702136279,691.4394430807668,6.989105024601767e-4
33,0.18026429409040623,708.9316338828396,0.0038684813356253916
34,0.2889967731923973,697.0753077887016,3.4873076949919646e-4
35,0.38841982282424564,696.3223989585038,5.539495362546865e-4
36,0.43426116609983306,700.6305808651805,7.279927589096594e-4
37,0.3771894234621614,761.5730353936988,3.874657290630988e-5
38,0.3530308270740745,699.9522525519376,1.2513499564066542e-4
39,0.5888502748445696,707.0801813754006,1.766010897175345e-7
40,0.23930979890413615,747.0975752303766,0.0014149425198109558
41,0.16816003560864837,762.4041156013968,0.013926181238235566
42,0.3046490761782278,705.7249494596117,0.0018759121566823231
43,0.4015035481295507,690.6388749408479,2.047601971462647e-5
44,0.38203899625469145,705.690319042591,3.3155082981322736e-4
45,0.3143902693044509,692.4677587485312,5.542786758853392e-4
46,0.291603583376381,754.6526761410801,0.0018660128333150376
47,0.6375971871772788,715.5394084009513,4.52220105964184e-6
48,0.409908688803312,701.1276120112968,3.3371283662904475e-5
49,0.4046940409933886,724.4460987726106,8.13323945966361e-5
50,0.42206531496026195,740.6247755823233,3.291074743888748e-7
51,0.5104779524776757,744.6859648274794,5.415734979973266e-7
52,0.4508058379674932,684.9883864556732,2.1753825929501444e-5
53,0.1920459652220428,728.9439645809407,0.004280123148064439
54,0.22309448701937584,727.3886981038352,0.0014726145799270332
55,0.3109475515042823,733.0786904860374,0.0010178970981035242
56,0.28137257244536346,744.0750428176912,0.004613068715772829
57,0.391833351328101,703.4804898733651,1.7097167636158549e-4
58,0.35943425599889856,689.8217085983529,1.09351563939021e-4
59,0.31885072040677,669.7397113051029,0.0011189446656666557
60,0.509475029924809,747.197790367112,9.108697484484939e-7
61,0.5707137995373748,728.1995349252361,2.700540676786716e-6
62,0.2996589004027377,727.843812071661,6.281251858640558e-5
63,0.24571238014925592,710.2744622501723,0.0017827386960357471
64,0.3955378859378052,745.6027305539569,8.309799532600687e-6
65,0.35243135657138525,710.5936543397629,5.435611088671387e-4
66,0.28599394497011194,750.9678327187951,0.0025450900247406412
67,0.4384826975201706,738.3554506061466,8.020197036111758e-5
68,0.3130816896868279,656.1980699724622,4.935496760588924e-5
69,0.46375355070260427,682.4743469404564,2.150565802972655e-5
70,0.4939031367605719,727.7428561030083,1.7302093147087572e-6
71,0.4008848928834721,710.7598589033594,7.021107519174107e-5
72,0.4412860123666485,742.1578568915763,4.69936746069301e-5
73,0.4615498709609442,703.640283933069,4.3801970531571596e-5
74,0.3698485602524063,728.5934138649852,6.435219729211595e-5
75,0.4732293302687432,724.5290013620593,2.5756258724013732e-5
76,0.3469488394450134,735.8438308430996,1.7395046347908017e-4
77,0.5882385355932631,758.0199067673173,2.7940613309070033e-7
78,0.3677282471986979,709.8872577894024,1.4870149505762496e-4
79,0.5088831995293207,699.0215325888321,1.0039268653819065e-5
80,0.8140954125764505,725.9644535302141,6.619170262227972e-9
81,0.6023836927712036,742.0969990112228,4.1217397096080996e-4
82,0.3986193590577258,722.9613365296652,3.4291059157448445e-5
83,0.4895430482726936,718.147703687393,2.34226511800655e-5
