replicate,K,P
1,0.02767576248299129,0.060000000000000005
2,0.02729688370920019,0.060000000000000005
3,0.027532736930247402,0.03
4,0.027426938508624835,0.03
5,0.024208480533149317,0.10999999999999999
6,0.02893567694445208,0.01
7,0.025279454393713197,0.09
8,0.02806357098578549,0.060000000000000005
9,0.027188332733857547,0.05
10,0.02526233212562297,0.03
11,0.02383874088518301,0.09
12,0.024567933269579473,0.09999999999999999
13,0.027595509081230922,0.07
14,0.025675202657885008,0.07
15,0.024303454263065946,0.09
16,0.028857950419411752,0.03
17,0.026516141420678634,0.09
18,0.021531720863094395,0.10999999999999999
19,0.02701543093814836,0.05
20,0.02770302599003143,0.05
21,0.023646690053190582,0.10999999999999999
22,0.027007163506898895,0.07
23,0.0231886611094784,0.10999999999999999
24,0.026533669331185606,0.02
25,0.028723731507086184,0.04
26,0.02779858677476727,0.05
27,0.027124861196455626,0.09
28,0.0277563747690028,0.060000000000000005
29,0.026277644606398243,0.04
30,0.027139715925846738,0.07
31,0.02835467747638441,0.04
32,0.027341345156503532,0.04
33,0.025397200191953174,0.09
34,0.02609455403701815,0.05
35,0.02436208975789548,0.11999999999999998
36,0.02497833495259992,0.08
37,0.02536782083965364,0.04
38,0.026089609310417584,0.07
39,0.02940729389908877,0.04
40,0.027130183574029267,0.03
41,0.0281400088137284,0.07
42,0.02038165361716018,0.18000000000000002
43,0.02822179524703271,0.05
44,0.027262888838874316,0.060000000000000005
45,0.028380859939311665,0.09
46,0.02576767451283888,0.09
47,0.02672804762314391,0.03
48,0.028454764473695788,0.03
49,0.025068069627381822,0.09
50,0.02759092473266851,0.04
51,0.02603547650806712,0.07
52,0.0227641828582194,0.15
53,0.02708079184206617,0.07
54,0.027764230070689167,0.03
55,0.025429334015541226,0.13999999999999999
56,0.025037289047669747,0.07
57,0.02349294075386159,0.09999999999999999
58,0.02772975227357633,0.05
59,0.028060765763414926,0.04
60,0.026860162868883413,0.07
61,0.025668495364450684,0.09
62,0.024498778686842942,0.10999999999999999
63,0.027120177558791304,0.07
64,0.0284626707402756,0.060000000000000005
65,0.02831597093209781,0.060000000000000005
66,0.028306966003417942,0.03
67,0.027926039433418374,0.03
68,0.023635378371553505,0.08
69,0.027336544379181184,0.03
70,0.027202127272965292,0.05
71,0.02381454935643606,0.09
72,0.027811474196418273,0.04
73,0.024271769961333334,0.07
74,0.027794110027170676,0.03
75,0.0281115727884178,0.04
76,0.027790525039868372,0.05
77,0.02761950235654999,0.04
78,0.027067541139006734,0.02
79,0.028180842975703703,0.03
80,0.02673137212010766,0.04
81,0.02555043179933992,0.060000000000000005
82,0.027819947507713043,0.03
83,0.028642573296554653,0.02
84,0.02578676173318071,0.08
85,0.027382887561335997,0.05
86,0.02461204694014854,0.07
87,0.023016876447820724,0.17
88,0.027363338705389276,0.060000000000000005
89,0.02589093144081208,0.060000000000000005
90,0.02711535191773064,0.05
91,0.027377132947406613,0.05
92,0.029131225783376635,0.03
93,0.027607049819859446,0.03
94,0.02770917774855089,0.03
95,0.027436178092686298,0.03
96,0.024572785618497347,0.09999999999999999
97,0.024961416619362777,0.07
98,0.026701777235921733,0.05
99,0.026727643756478753,0.10999999999999999
100,0.029596716066939838,0.060000000000000005
