replicate,K,P
1,0.006965824795805418,0.01
2,0.007142240952522893,0.01
3,0.007178178693247383,0.02
4,0.006567251703895125,0.01
5,0.007112841218875241,0.02
6,0.006074075887118249,0.060000000000000005
7,0.00637359863789456,0.03
8,0.009068503970251161,0.01
9,0.006728804304285858,0.02
10,0.00690628919043432,0.02
11,0.007318584694496958,0.03
12,0.007612939511090341,0.02
13,0.006508232850766817,0.02
14,0.0076241034104197886,0.01
15,0.005595962046398314,0.09
16,0.0077225813561101,0.01
17,0.0077367179700344,0.01
18,0.007105506327193188,0.03
19,0.007304293746350473,0.02
20,0.006554031592184971,0.02
21,0.00774718768781095,0.01
22,0.007290589374170656,0.01
23,0.006785462803855651,0.03
24,0.007393173758891127,0.01
25,0.006925632691992445,0.02
26,0.00663843805527334,0.01
27,0.006431565439540671,0.03
28,0.006693954839580518,0.02
29,0.006830783021888382,0.02
30,0.007209135977480951,0.02
31,0.00788013494858989,0.01
32,0.007026478613908819,0.01
33,0.007834816149204804,0.01
34,0.006133813569685524,0.04
35,0.006221727677910751,0.04
36,0.006844105728463632,0.02
37,0.006364003237593177,0.02
38,0.0074175004771957175,0.01
39,0.006633572727024209,0.01
40,0.007664277296631201,0.02
41,0.007308103415442949,0.02
42,0.007292866289248787,0.02
43,0.005293041719911275,0.07
44,0.006669594240467327,0.02
45,0.005330922357620945,0.060000000000000005
46,0.006076750941677692,0.05
47,0.007267200886773898,0.02
48,0.006714959406243991,0.01
49,0.006759916037568269,0.02
50,0.0073406646030081055,0.02
51,0.006096766945138611,0.04
52,0.007669542362023228,0.01
53,0.006348467861327022,0.02
54,0.006485457167858466,0.04
55,0.007080489378617843,0.02
56,0.00731864228202716,0.01
57,0.008464456625672129,0.02
58,0.006483087280273248,0.02
59,0.005800951755468428,0.07
60,0.00535248712409605,0.07
61,0.007678162344128237,0.01
62,0.006194017075662246,0.03
63,0.007495386841172401,0.01
64,0.006911420401929792,0.03
65,0.006402274406613372,0.03
66,0.008056668150089898,0.01
67,0.008259084546867107,0.01
68,0.00672825317130163,0.02
69,0.007269707281436431,0.01
70,0.006300230642720242,0.04
71,0.007791708385089158,0.01
72,0.006803944017531819,0.03
73,0.007194629712440571,0.01
74,0.006340842931532935,0.01
75,0.006385364262693503,0.02
76,0.00779359939090366,0.02
77,0.00563540325075572,0.07
78,0.008202218677965266,0.01
79,0.0070439784463473204,0.03
80,0.007093079395840466,0.01
81,0.007892331310629856,0.02
82,0.0064345934237198706,0.04
83,0.006856130574603984,0.01
84,0.006341503031312478,0.03
85,0.007065717094292074,0.02
86,0.0063008804193145935,0.01
87,0.007455978293266311,0.02
88,0.006062124894494468,0.04
89,0.007980679145542027,0.01
90,0.007824030019657518,0.03
91,0.006833028338764737,0.01
92,0.006738521124853861,0.01
93,0.0057170763319102326,0.07
94,0.006565826175963082,0.01
95,0.006916285568318004,0.01
96,0.007884398685536479,0.01
97,0.00663960382043719,0.01
98,0.007442604608163685,0.02
99,0.006564481347523624,0.02
100,0.006943639649627739,0.01
