replicate,lambda,logL,P
1,0.8106557535057163,435.8992637034121,1.0400034350660139e-4
2,0.88687667852784835,455.15465237143076,1.6788155262803762e-12
3,0.8611195697880156,471.24867572080325,2.3303820898166676e-8
4,0.9078869999419893,448.29767474138316,9.937447154744888e-20
5,0.860636282384853,469.2560448148545,2.6173705713267657e-8
6,0.8947688268069659,459.03432274754687,1.8668331145319568e-13
7,0.8577861160603263,467.65649383876894,6.333281008154153e-8
8,0.857142460512044,458.94897197011665,8.024956529351143e-9
9,0.8128734042567017,427.72274638520867,1.5416174508637957e-4
10,0.866399827466189,473.806373855369,6.610919298127479e-9
11,0.8389456903961993,460.68454979865874,1.7173490082406825e-6
12,0.85364369413214,456.5559084569006,1.848849949047422e-7
13,0.8620775751640225,461.32922287689166,3.3476339219986706e-8
14,0.8701562520843962,475.1754996170041,2.7501621142155167e-09
15,0.8369293854123595,452.44386881453534,4.383790142620291e-6
16,0.8397324856113408,410.79878019966236,3.967786350306313e-6
17,0.8479270110714985,440.5174997585216,6.471364720898798e-7
18,0.7327894117657163,427.61972493223584,0.009654917145434297
19,0.8753542907302618,472.21366593872494,7.915374234669799e-10
20,0.8680898325152996,472.51124952951545,6.757903499554403e-9
21,0.8679950992987634,472.77389168249056,4.350918973326509e-9
22,0.8503887296162453,459.84872055478763,4.984028145807389e-7
23,0.8506931943718065,463.3611060769547,1.9118004060567386e-7
24,0.8948490123821116,458.42600336420855,1.7677182354127283e-15
25,0.870336153650271,474.75235993857973,3.279203242706079e-9
26,0.8701656521478548,475.44336189899695,3.035930406629773e-9
27,0.8802626485767658,468.3982829966485,5.334596899359699e-10
28,0.8732346537644757,474.6042020979098,1.7957140505594285e-9
29,0.8761431845949673,467.03881147018615,1.636653079084749e-9
30,0.8783518901296461,472.1566896870122,1.3453924328980262e-10
31,0.8929462778548454,455.67698122932916,2.7023016409505007e-15
32,0.8530111333456014,464.95394321609,1.2217097744790683e-7
33,0.8372676478476567,461.82057021841797,1.2371972018131284e-6
34,0.8595518819061668,470.76528485271956,2.820646094933206e-8
35,0.8570114506150875,461.97038039995255,1.7685231834482205e-8
36,0.8680191538535583,472.9412221333191,5.276616228363053e-9
37,0.8607650534635369,470.4315562941017,2.6488149504238244e-8
38,0.8537335707357611,460.01562731031663,2.8590051015072844e-7
39,0.895473209897437,459.65169833779214,1.2644569083064227e-13
40,0.8775936518384416,471.47302552174483,1.432099725503534e-9
41,0.8406372174671,439.1882590801274,4.059002271246531e-6
42,0.7022678405629373,431.472606587595,0.02016069585361021
43,0.8671967967839525,464.52512537072744,2.477767361426091e-8
44,0.8526208532794443,466.20239865220674,8.629619867356461e-8
45,0.8889464976118843,457.56604831616073,1.5776078919213774e-15
46,0.8605968988070326,460.887399606067,4.4440229744539264e-8
47,0.8498863033770058,459.4186056519111,6.610146270008316e-7
48,0.8763467057480069,466.92327602048863,1.7017819676930654e-9
49,0.8796724099041894,471.24676391701587,5.288897181879157e-10
50,0.8630127748288478,465.14481737675715,1.0315277300706198e-8
51,0.8597503875076791,470.6969004080711,2.6387984110032325e-8
52,0.8707657105928717,475.89871403509255,2.5139705013673874e-9
53,0.8746488826339309,466.910819294995,6.923222812693669e-10
54,0.8532289257663942,455.24759874368647,3.74576314860979e-7
55,0.8766728884022651,464.755737467935,1.4255933121567077e-9
56,0.8696579100300746,474.7357084741707,4.1366535434275865e-9
57,0.8653960940866288,472.28170778949175,9.204500838327596e-9
58,0.8314069383507239,434.93792794752403,2.1191892905614757e-5
59,0.8748887599220605,469.77824016908767,1.898403455378275e-10
60,0.8388819244643233,434.11776212451787,2.257176081617646e-7
61,0.8761696256715074,473.1934761853438,4.716141912992448e-10
62,0.8554565746844277,442.05896211707477,1.4711501322001766e-8
63,0.8556505269881934,467.5096556040787,8.953791625085328e-8
64,0.8665996421205883,447.7945746817941,2.3385709735132827e-9
65,0.8422786366958522,436.62251522192787,5.3643968857012224e-6
66,0.8729763911613704,468.2461285560687,3.1230055167402014e-9
67,0.8659202600825486,472.5347433032059,7.391448236048035e-9
68,0.7343227392228576,387.8507080098043,0.0015495761371180827
69,0.855549903178516,459.95862937812444,4.1758676332776676e-9
70,0.8620782351652687,468.32762479490725,1.5699844941320282e-8
71,0.8442283539380043,457.5528553983236,3.914324842576324e-7
72,0.8735395181299725,469.7152486259256,4.831106353477066e-10
73,0.8893244311835767,460.44472156557595,4.3513206891511965e-15
74,0.8727397754687821,475.2254574797712,1.6089897448590524e-9
75,0.8686023198770523,449.8657127684089,1.3887447197246585e-9
76,0.8640981992110841,465.31749690389165,4.5754566207578456e-8
77,0.8763505341124579,475.1758169843811,9.258744082424582e-10
