replicate,K,P
1,0.01263140014885968,0.5400000000000003
2,0.012583833458957196,0.5900000000000003
3,0.012390788403831102,0.5500000000000003
4,0.012571554527251732,0.5000000000000002
5,0.015088203990214617,0.3100000000000001
6,0.012577196131956906,0.5100000000000002
7,0.012588285885122771,0.5000000000000002
8,0.012611773187037127,0.49000000000000027
9,0.012566310499913608,0.5000000000000002
10,0.012578662019532503,0.6000000000000003
11,0.01261221120895502,0.49000000000000027
12,0.012948219001870143,0.4200000000000002
13,0.0125880595773917,0.5700000000000003
14,0.01257224791453695,0.5100000000000002
15,0.012933134946460019,0.4400000000000002
16,0.012646356177715099,0.5500000000000003
17,0.01276381449527673,0.5500000000000003
18,0.012558985712229392,0.5300000000000002
19,0.012765675516483964,0.5900000000000003
20,0.0129205001806645,0.5300000000000002
21,0.012588407365391428,0.5000000000000002
22,0.012592372693489362,0.5900000000000003
23,0.012572928953872782,0.5100000000000002
24,0.01243866160477803,0.5700000000000003
25,0.012947595269260698,0.5200000000000002
26,0.01302878039598063,0.49000000000000027
27,0.012928101719594253,0.48000000000000026
28,0.012565482172878268,0.6300000000000003
29,0.012587786282212868,0.5300000000000002
30,0.012568865631627343,0.5300000000000002
31,0.012563748022315682,0.5200000000000002
32,0.012576786587703592,0.49000000000000027
33,0.012606565726490392,0.5700000000000003
34,0.01295880790730097,0.4300000000000002
35,0.012949187088523453,0.46000000000000024
36,0.01333032324855786,0.45000000000000023
37,0.014786129371041706,0.3300000000000001
38,0.012895628139333709,0.49000000000000027
39,0.01245937498331419,0.6000000000000003
40,0.012582441929162882,0.6000000000000003
41,0.01257224791453695,0.4200000000000002
42,0.012587958278188024,0.47000000000000025
43,0.012647087050512339,0.5900000000000003
44,0.01249700863866956,0.4300000000000002
45,0.012875364434035226,0.5100000000000002
46,0.012558544893145724,0.5100000000000002
47,0.012568865631627343,0.5800000000000003
48,0.0124518682046706,0.47000000000000025
49,0.012584377039555552,0.5300000000000002
50,0.012584334389805907,0.5400000000000003
51,0.013002965196898825,0.49000000000000027
52,0.01294726549828261,0.4300000000000002
53,0.012897789431260418,0.5100000000000002
54,0.013225707012436343,0.4000000000000002
55,0.012924688111873152,0.5100000000000002
56,0.012579340249089499,0.5500000000000003
57,0.012577385002910405,0.5100000000000002
58,0.012943878460371533,0.5000000000000002
59,0.014798753387110624,0.3200000000000001
60,0.01264374780483214,0.48000000000000026
61,0.012566884711910135,0.5700000000000003
62,0.012914867546275249,0.48000000000000026
63,0.012527979598561808,0.5300000000000002
64,0.012558729119210967,0.5800000000000003
65,0.013210032516281013,0.4200000000000002
66,0.012566618512247371,0.5100000000000002
67,0.012814586378629445,0.4000000000000002
68,0.01256376212065436,0.47000000000000025
69,0.012587786282212868,0.5100000000000002
70,0.012980407882360644,0.4200000000000002
71,0.012545349744283722,0.5300000000000002
72,0.012757232840077884,0.49000000000000027
73,0.014833622700609294,0.3300000000000001
74,0.012576207890087409,0.5300000000000002
75,0.012927503624321551,0.5300000000000002
76,0.012594023573101168,0.5100000000000002
77,0.012598079029222279,0.5200000000000002
78,0.012605758497850507,0.5400000000000003
79,0.01258732307051929,0.48000000000000026
80,0.012588285885122771,0.5700000000000003
81,0.012564574624886075,0.5200000000000002
82,0.012570128069113005,0.5400000000000003
83,0.012549916675922234,0.5300000000000002
84,0.0125575068919125,0.5400000000000003
85,0.012607452994922703,0.5400000000000003
86,0.01255511092093952,0.5200000000000002
87,0.012806249753737356,0.6000000000000003
88,0.012673845787984968,0.47000000000000025
89,0.012914335323871729,0.48000000000000026
90,0.012569518135406401,0.46000000000000024
91,0.012663405890706811,0.5500000000000003
92,0.012583922635535184,0.5100000000000002
93,0.012951963495413379,0.46000000000000024
94,0.012443520760943185,0.49000000000000027
95,0.01295937792048534,0.5700000000000003
96,0.012584761302278763,0.48000000000000026
97,0.012594846396547512,0.5900000000000003
98,0.012548004216258303,0.5100000000000002
99,0.012507199240788292,0.5200000000000002
100,0.012472231231741024,0.5400000000000003
