replicate,lambda,logL,P
1,0.7801200354203645,1034.8924063577597,2.8222882091714465e-16
2,0.7663213340689405,1074.1595304562911,3.829148191729011e-16
3,0.7734023970775082,1046.2787401538826,9.139908046326846e-17
4,0.7491213071046642,999.036676485593,2.0661170304754488e-14
5,0.7330831460882846,1013.8913377072286,3.8996569472234106e-13
6,0.6688250181435241,1049.2614891644153,5.789800503018632e-13
7,0.668188234989087,960.2508072326054,1.363828911104047e-13
8,0.7639766449183746,1008.8033457648485,2.6143241322615403e-15
9,0.6761581904084528,1045.4582887172755,3.6990531789845776e-13
10,0.7278532375882242,1012.5390348125966,1.6894355323504715e-12
11,0.7263602299749794,1019.6960856465503,6.0120082450719606e-12
12,0.7797100145647314,1048.419950725357,2.1341066308183457e-17
13,0.33108109374632466,1019.8401094067603,1.3935011376341014e-6
14,0.77973399122931,1023.741922954343,8.479307181261043e-18
15,0.566204636006533,1048.3182941761406,7.854602515988016e-8
16,0.6883537682662167,1070.2274779989984,1.1370581331406754e-16
17,0.6905389291897579,1015.6490900996878,4.736787001519941e-14
18,0.5744333359876389,957.9149669352119,3.9730609657757557e-10
19,0.7396768670906341,1019.9011042923798,5.99250471362747e-14
20,0.7185508027306172,1011.9497614161887,1.203336561584623e-12
21,0.6293031911046201,1006.9589346627531,3.617596748585345e-12
22,0.7668559034175397,1035.4201114790385,3.989062873238826e-17
23,0.6762583329436854,1023.1850761081614,3.6414439097130995e-13
24,0.6641123017563051,1043.008013979219,1.5645102007039752e-10
25,0.7013734465009857,997.8252321286964,4.7067389683183216e-14
26,0.6846347931167882,980.3816499714089,1.6637895898683775e-13
27,0.6402260566477386,1037.4855997420213,1.4628604437116407e-10
28,0.681925384972266,990.5004192380134,2.6936654414355533e-12
29,0.5721252261807608,1021.8525270199939,1.2225149921010553e-9
30,0.748978368674753,1004.5861230214964,2.1833317026731155e-15
31,0.7969483289217755,1047.3487877138332,3.6513805757508e-18
32,0.71108850986623,1028.3974264937056,9.108406584472206e-14
33,0.7708921582564601,1021.6326620467971,5.842800378463346e-17
34,0.6167728781389243,965.3587802499515,1.8409328395926812e-10
35,0.687303960569628,979.4598819683397,7.86746110983994e-12
36,0.7238772588936961,1020.7031620752432,2.1622530916657075e-14
37,0.7203740657596837,1048.6396531710334,3.860305770311323e-12
38,0.7157937317083726,1079.500757961422,3.4434963226400095e-16
39,0.7174835947836283,1017.5782069199277,3.823777436174655e-13
40,0.660137227018557,992.7351288753621,2.1736749581593757e-9
41,0.7039197694404841,1020.7641244485608,3.106143615231655e-11
42,0.6766897661332302,1053.7359833112273,1.679874989448156e-13
43,0.6321390258834936,1045.2487986439137,1.2658034389367502e-11
44,0.6654315856859826,989.0624070654158,1.5619599495428483e-12
45,0.588339605561469,1002.5649018843865,6.325685734396587e-8
46,0.390862887535677,1061.7310571052326,4.2978354681102214e-8
47,0.7289492846155515,1060.0032951537478,6.756770215332214e-12
48,0.35510656102064614,1030.7769092865515,3.0405879789958687e-9
49,0.6620986885445893,1040.8342360433735,9.493954500036985e-12
50,0.7650044167724652,1061.1465016190637,1.326759478737337e-17
51,0.6753052893528503,1024.526191606914,3.2571067939848825e-10
52,0.7885737590399382,1032.4267659368884,1.0093756178341607e-15
53,0.7457349398570564,1063.0856527010196,1.2983144329056952e-12
54,0.5434160574142095,998.6196384104096,3.6314281676177174e-8
55,0.7316191842008757,1038.5868914361936,4.9128153812620505e-14
56,0.6883092380232879,1049.8660518155366,1.698300330809913e-13
57,0.730868153347329,1005.3998152143954,1.1185501849215743e-12
58,0.7403254264495568,1002.0523913456159,7.250951986271361e-14
59,0.6635138528971278,1053.2481123164384,2.7177594440345467e-12
60,0.6759726016974147,1004.7205309052192,1.593650123085253e-12
61,0.7828368047512092,1000.9836993596459,7.007057200802276e-17
62,0.5645256454066088,980.0367672466809,1.0849839028179087e-8
63,0.7520142069417489,1023.8422683901836,7.882478167012627e-15
64,0.7142322440339848,976.2864918432001,1.6304765376499675e-10
65,0.6742243016141336,1011.810421630702,2.4154736404460095e-12
66,0.7788235341007578,1056.7158075625816,3.125679444351872e-16
67,0.7235339115317013,1000.8687528717523,1.805093172865024e-12
68,0.636892519396589,1035.2458652078576,2.075107916490941e-11
69,0.6862635633978562,1023.3572328680352,3.841588668592528e-12
70,0.6825606164057219,1057.2634892939004,4.929234580733096e-13
71,0.6776253296879222,991.7264768010459,2.8650302543615543e-11
72,0.5995085916474582,1041.452903357134,1.3402084675981945e-10
73,0.7606714845663033,1004.1490335062085,9.611807463229366e-17
74,0.6830807255344168,961.0359066107617,3.2619736258224394e-12
75,0.737635929290785,1014.650048701511,4.2889858678422357e-13
76,0.7907461237486901,1031.9437884579388,8.209702417124906e-17
77,0.4936254288582273,997.2407139940142,4.1051967015346327e-8
78,0.7333472723842586,999.1883296683832,1.7495564958517785e-14
79,0.6540267245144004,1000.6018923108322,8.239444027734007e-12
80,0.7342647296883618,1059.341561258565,3.051019128540436e-13
81,0.7840970554719275,1041.864198335561,2.256488153146427e-17
82,0.7485976162831716,1031.5131440492787,1.8969693400574864e-13
83,0.6421520593655036,964.8693300276418,1.0907614523525148e-8
84,0.7245159285066849,978.866388022102,9.120338968769329e-11
85,0.6243675248022854,990.6464834989733,1.016883206604187e-11
86,0.6795682389245273,1006.5729191061059,1.9735253470672882e-13
87,0.673372800716925,1007.5143689009997,6.678059938776184e-12
88,0.7646754631946133,1022.291493505893,5.590547183675081e-18
89,0.7775485329386014,1016.4426305691054,5.652414748986926e-16
90,0.7575913078845601,1025.3055623578725,7.153719482434062e-16
91,0.7338958607780918,984.0191637098173,5.516967500179853e-13
92,0.6040071098710188,984.1988826498991,1.083562050488515e-8
93,0.6210311988541849,1037.8926407196705,1.1495741462607166e-10
94,0.5474853819441735,1010.4053718721229,1.0582082118615089e-8
95,0.6958541527835271,1008.7499882653719,3.686156665838007e-12
96,0.8358892201660717,1090.2906825070063,1.775461200865084e-21
97,0.7748871721303173,1023.3130412948062,4.6473863948010434e-18
98,0.727565765827262,997.3981222859652,2.833570466477791e-16
99,0.7482275882668691,1025.2517400805414,1.3596310399174377e-14
100,0.683211473725919,1015.8795091716761,5.356937414946526e-13
