replicate,K,P
1,0.022451258232354738,0.01
2,0.023286020572884574,0.01
3,0.024223147303221528,0.01
4,0.02271253876801981,0.01
5,0.027553883958120414,0.01
6,0.02526801110433806,0.01
7,0.023321416609458412,0.01
8,0.025655760854963863,0.01
9,0.020290791218433395,0.01
10,0.020101566018613903,0.02
11,0.021669537222195917,0.01
12,0.018432066229577403,0.01
13,0.02759408554131694,0.01
14,0.0212104880110293,0.01
15,0.024954920421510776,0.01
16,0.02150134217383373,0.01
17,0.02221433506826636,0.01
18,0.02441555888377986,0.01
19,0.020625015575860477,0.01
20,0.020254470285103243,0.01
21,0.027780846664364728,0.01
22,0.02006952325679639,0.01
23,0.02330256280731905,0.01
24,0.019289204733786963,0.01
25,0.018930498874948812,0.01
26,0.02535731085055865,0.01
27,0.021428464536565373,0.01
28,0.022912539989420232,0.01
29,0.028098470994427072,0.01
30,0.028153030930291582,0.01
31,0.02189327887782877,0.01
32,0.0198444936560529,0.01
33,0.01726481686627797,0.01
34,0.02011571732786914,0.01
35,0.022862652014060045,0.01
36,0.02170770108734098,0.01
37,0.022429856227259477,0.01
38,0.020553451253414803,0.01
39,0.02557089430698668,0.01
40,0.01769979248669431,0.01
41,0.016503543123007353,0.01
42,0.02165108320564603,0.01
43,0.023525657335572655,0.01
44,0.02861380075776129,0.01
45,0.021622580487150177,0.01
46,0.02012892292624408,0.01
47,0.021712572331659102,0.01
48,0.022425725406472776,0.01
49,0.02380927571397603,0.01
50,0.02661171419545545,0.01
51,0.02374941041497852,0.01
52,0.024013533205466946,0.01
53,0.020692836813178902,0.01
54,0.019424644463881906,0.01
55,0.022377993439453528,0.01
56,0.02240459136496229,0.01
57,0.02204854775419267,0.01
58,0.02264495528116754,0.01
59,0.02282982607822413,0.01
60,0.031189093372862315,0.01
61,0.0305714673930664,0.01
62,0.02326586152854748,0.01
63,0.02036636429399833,0.01
64,0.020753988681115176,0.01
65,0.024323111353817824,0.01
66,0.020560055934275717,0.01
67,0.02195223714143112,0.01
68,0.023411996869222358,0.01
69,0.02893095297983694,0.01
70,0.028068586383379064,0.01
71,0.02711191754493437,0.01
72,0.01765349735392945,0.01
73,0.023523178348863198,0.01
74,0.021227568836333706,0.01
75,0.029492239525148838,0.01
76,0.02060293535510196,0.01
77,0.027792409385678663,0.01
78,0.02064067573496984,0.01
79,0.020998867792162673,0.01
80,0.032205666358212856,0.01
81,0.023566055111371075,0.01
82,0.025598124637964608,0.01
83,0.026776706995163737,0.01
84,0.026019472416852867,0.01
85,0.019717307422541377,0.01
86,0.022980039895268128,0.01
87,0.029766691513005736,0.01
88,0.024844874502913537,0.01
89,0.02085226893055084,0.01
90,0.021943014203319143,0.01
91,0.02188395043787733,0.01
92,0.03274509469388066,0.01
93,0.026993146139636052,0.01
94,0.022346003717754633,0.01
95,0.02912635124097895,0.01
96,0.026704561727577902,0.01
97,0.020946927759451048,0.01
98,0.02098024100833637,0.01
99,0.022113080971396696,0.01
100,0.027170867499068045,0.01
