step,Sim1,Sim2,Sim3,Sim4,Sim5,Sim6,Sim7,Sim8,Sim9,Sim10,Sim11,Sim12,Sim13,Sim14,Sim15,Sim16,Sim17,Sim18,Sim19,Sim20,Sim21,Sim22,Sim23,Sim24,Sim25,Sim26,Sim27,Sim28,Sim29,Sim30,Sim31,Sim32,Sim33,Sim34,Sim35,Sim36,Sim37,Sim38,Sim39,Sim40,Sim41,Sim42,Sim43,Sim44,Sim45,Sim46,Sim47,Sim48,Sim49,Sim50,Sim51,Sim52,Sim53,Sim54,Sim55,Sim56,Sim57,Sim58,Sim59,Sim60,Sim61,Sim62,Sim63,Sim64,Sim65,Sim66,Sim67,Sim68,Sim69,Sim70,Sim71,Sim72,Sim73,Sim74,Sim75,Sim76,Sim77,Sim78,Sim79,Sim80,Sim81,Sim82,Sim83,Sim84,Sim85,Sim86,Sim87,Sim88,Sim89,Sim90,Sim91,Sim92,Sim93,Sim94,Sim95,Sim96,Sim97,Sim98,Sim99
1,20582.177488,20629.306651,20665.125517,20612.875167,20668.428675,20610.476363,20667.132154,20659.249154,20647.543031,20652.797271,20659.448264,20661.800886,20667.132154,20664.673547,20663.743874,20639.37073,20663.965855,20560.578824,20655.4792,20667.07574,20661.313517,20667.132154,20660.273542,20663.201108,20641.204372,20599.88274,20635.956823,20594.836316,20653.829850000002,20657.047314,20660.650299,20668.45964,20662.667055,20624.425098,20570.795369,20664.056156,20667.815143,20667.996103,20661.801273,20648.980217,20629.636889,20656.349073,20665.256534,20666.479004,20665.652492,20641.193032,20666.479004,20667.702019,20661.800886,20656.803276,20663.484415,20599.88274,20665.652492,20660.273542,20592.792928,20603.1699,20649.428981,20666.725611,20662.667055,20665.763543,20602.225432,20662.923419,20660.740304,20662.686138,20660.273098,20667.472954,20625.641,20625.095949,20652.728798,20651.026476,20667.804173,20648.351381,20666.917941,20663.769021,20659.139381,20656.406709,20612.44172,20641.204372,20633.350297,20656.06529,20665.278658,20668.45964,20364.436395,20667.224212,20656.06529,20668.362343,20668.360715,20664.05027,20627.608136,20657.265158,20657.585055,20664.907095,20599.88274,20661.531132,20663.769021,20655.215825,20642.079439,20637.893556,20657.704419
2,20581.20913,20626.158398,20663.97319,20606.051497,20667.076931,20570.525161,20662.207119,20659.153769,20572.157903,20630.431216,20650.767437,20642.559488,20665.372425,20653.707589,20661.340325,20637.480757,20608.170645,20546.804302,20593.173806,20653.482444,20585.159006,20666.163796,20644.556166,20650.596021,20505.11225,20592.52588,20628.390792,20565.14314,20652.259649,20652.869484,20630.71107,20665.474644,20610.000111,20580.393152,20568.702485,20634.756509,20666.495036,20661.045367,20658.857307,20644.053714,20628.098666,20617.826782,20658.38743,20657.616247,20609.423835,20628.929365,20609.447673,20663.164761,20647.583746,20653.896442,20657.737458,20597.479191,20661.320831,20621.824285,20582.52472,20601.326293000002,20649.161716,20627.692124,20559.592261,20518.698326,20591.94564,20657.140798,20659.905208,20593.898501,20616.769257,20667.377569,20622.697034,20591.455767,20645.191556,20650.931091,20639.2331,20638.937209,20664.554159,20659.231763,20654.519274,20640.224012,20606.12586,20626.363845,20632.822771,20612.31844,20664.332535,20663.823173,20363.179192,20646.834951,20382.543914,20655.232877,20597.126496,20651.389499,20627.025783,20649.096706,20656.577401,20659.275136,20563.092472,20660.008405,20620.739643,20622.424722,20640.994017,20629.589638,20650.167177
3,20574.258394,20618.741176,20651.368103,20592.596949,20571.07067,20533.651079,20646.024422,20650.75649,20539.444349,20630.335831,20584.322492,20640.950152,20657.494792,20645.588644,20624.466243,20633.760672,20594.716097,20538.874231,20592.318573,20648.845977,20516.496455,20645.315571,20635.436247,20650.107233,20490.271722,20557.325764,20625.405796,20532.352037,20649.902413,20634.996875,20618.249252,20596.330808,20606.412709,20578.783816,20554.927963000002,20584.151596,20656.96404,20655.29841,20656.49264,20641.96083,20627.516313,20617.244429,20631.431509000002,20649.250659,20608.416181,20572.210316,20602.743615,20660.800094,20621.673979,20652.301805,20653.123237,20559.190818,20538.149304,20592.142782,20520.219326,20579.566057,20583.679542,20625.700178,20554.227572,20515.065185,20555.317389,20649.783938,20649.306417,20593.323796,20607.355085,20611.582359,20602.226689,20590.990991,20627.318947,20573.446500000002,20627.109073,20549.307438,20643.755345,20567.565998000002,20625.387497,20584.16745,20605.884158,20624.188154,20632.150271,20609.953773,20624.724659,20650.631997,20351.055165,20578.047314,20373.71517,20648.917017,20547.703528000002,20643.343763,20624.304968,20648.899608,20532.17695,20641.234929,20555.953227,20659.039948,20608.924054,20622.157457,20640.505229,20624.227188,20646.447092
4,20568.789125,20610.69544,20649.921938,20509.624072,20507.203892,20460.82742,20645.016768,20648.663606000002,20538.770075,20612.153071,20557.484327,20627.57012,20638.253394,20643.745037,20610.872948,20615.888063,20538.48744,20234.640249,20583.09646,20641.976873,20482.856271,20591.146411,20634.908722,20648.557891,20460.901369,20544.134587,20623.230105,20532.203608,20635.193467,20630.095519,20617.981987,20590.006624,20596.991486,20472.324137,20552.563296,20548.95148,20649.033969,20652.270329,20654.110571,20638.812577,20625.112764,20582.784069,20618.770738,20648.282301,20597.625282,20571.968614,20600.983886,20658.436312,20588.590935,20608.056526,20637.181657,20557.87071,20537.47503,20589.198816,20512.843876,20549.448134,20582.084905,20619.203843,20551.824023,20493.304949,20552.91384,20563.291048,20646.891408,20560.240752,20599.979635,20540.348140000002,20590.425097,20493.115983,20605.665901,20527.258592,20624.744406,20488.561076,20630.162049,20567.047131,20621.442003,20574.746227,20601.3469,20603.339929,20593.116784,20599.673981,20613.251083,20648.872268,20341.710045,20387.50675,20372.753438,20646.925071,20446.589475,20642.263207,20618.882529,20645.354748,20531.218745000002,20575.734452,20408.888013,20644.822808,20601.156576,20601.358643,20639.977703,20597.389023,20625.319746
5,20547.028889,20509.706162,20642.971202,20501.578335,20505.830507,20422.305129,20634.510716,20646.298939,20467.895439,20599.691253,20556.532016,20612.874787,20586.50768,20630.55386,20602.475669,20589.297125,20511.649275,20194.689047,20582.948031,20629.713205,20444.333979,20587.426326,20631.76047,20640.537812,20441.167422,20541.190621,20595.75276,20487.95833,20626.073547,20615.254991,20512.30618,20575.630023,20588.871296,20470.876597,20544.197708,20541.524401,20640.481396,20624.038925,20625.406459,20638.615479,20559.612286,20485.884396,20609.907983,20645.918519,20596.656825000002,20485.475724,20600.786789,20656.054243,20587.333732,20603.131491,20616.333432,20528.571063,20536.516825,20588.890782,20447.343399,20548.502011,20575.760721,20614.589622,20533.797327,20490.258331,20551.955635,20553.45426,20643.484478,20559.088425,20528.745416,20538.172449,20589.850392,20489.73672,20601.059094,20517.421804,20611.364374,20484.973674,20629.154395,20480.554241,20605.500423,20566.349392,20592.794327,20598.413426,20592.652008,20524.288853000002,20505.15953,20644.177503,20302.102168,20355.531112,20352.364177,20642.928241,20444.174466,20639.899425,20494.482078,20498.289534,20502.086968,20506.946815,20396.566709,20639.897773,20599.640436,20568.275599,20600.944215,20474.217496,20622.955964
6,20545.51343,20509.123807,20603.937715,20485.128086,20499.827185000002,20319.230335,20631.464098,20577.410052,20320.830222,20530.802366,20552.898875,20610.774294,20525.761318,20600.861507,20552.864211,20588.33892,20510.054639,20108.196157,20485.073023,20573.656643,20405.884722,20579.85634,20609.009467,20637.066209,20440.970325,20539.62042,20591.583713,20472.085224,20621.037213,20615.106562,20509.399346,20547.291429,20586.92653,20463.109119,20544.049279,20535.892442,20613.525475,20620.042095,20624.325903,20601.741397,20525.151926,20429.827834,20577.878867,20568.433928,20584.532798,20482.127243,20585.650654,20655.096038,20585.581296,20595.012547,20615.844644,20528.475678,20477.251052,20577.924824,20439.465766,20545.455393,20566.4156,20577.883544,20523.006427,20483.761997,20548.541792,20478.069132,20580.960471,20558.99304,20524.576369,20529.309694,20497.464886,20474.896192,20581.793427,20512.898316,20606.178412,20480.795845,20627.061511,20471.539565,20514.866365,20566.041358,20591.713771,20585.222249,20500.266502,20513.690062,20495.287645,20537.717824,20290.628591,20342.585628,20331.515952,20569.09418,20428.232886,20569.206757,20493.733964,20487.128174,20494.549726,20468.424523,20364.537593,20631.852036,20441.023634,20565.257714,20597.795962,20424.794528,20621.994232
7,20544.763654,20500.44298,20603.552299,20462.497675,20499.079071,20248.537667,20615.954666,20550.819114,20252.167671,20530.535101,20487.416701000002,20606.237036,20525.550581,20497.786713,20539.673034,20511.171597,20508.608474,20107.243846,20464.624294,20503.388584,20258.819505,20569.06544,20608.434762,20635.496008000002,20440.70306,20506.550701,20584.714609,20458.630672,20602.854453,20538.952051,20464.492131,20541.659469,20583.863649,20455.543088,20533.769487,20532.478599000002,20603.654651,20615.864265,20614.517071,20518.76852,20523.392197,20428.747278,20560.234966,20565.026998,20566.082446,20481.629636,20577.098081,20654.503086,20573.259992,20543.266833,20611.321156,20447.887791,20447.311823,20576.604717,20423.283069,20543.91717,20564.877377,20572.162387,20521.411790000002,20453.822767,20547.867518,20397.481245,20571.840552,20529.928748,20423.462316,20526.788743,20468.333109,20465.059404,20581.218722,20491.77097,20577.4743,20474.684027,20624.961018,20466.070296,20512.573404,20553.917331,20571.243426,20579.501092,20429.391866,20457.461405000002,20474.43942,20532.681488,20279.662633,20314.932349,20296.315836,20565.958882,20417.964678,20543.29699,20490.354702,20486.272941,20488.546404,20464.092862,20300.670815,20599.138482,20413.370355,20562.109462,20595.29096,20319.118721,20549.945439
8,20544.566557000002,20491.220867,20602.583941,20420.762084,20487.605495,20237.452345,20524.288901,20549.984018,20245.028426,20497.452057,20458.046348,20597.22236,20468.51925,20493.166606,20534.6367,20509.32799,20507.070251,20106.285641,20388.746845,20468.068504,20247.853548,20548.595095,20596.171095,20632.991006,20437.640179,20504.450208,20584.29952,20425.547628,20598.234346,20467.717832,20463.742355,20533.891991,20582.095067,20308.477871,20532.965756,20500.169387,20590.709167,20600.015276000002,20614.165272,20517.25238,20494.821123,20412.898289,20540.969301,20557.887753,20442.910919,20481.140848,20544.306978,20651.817174,20477.253731,20539.546748,20607.688015,20427.039566,20173.790447,20572.607887,20389.642885,20542.471005,20507.846044,20558.480908,20519.568183,20421.513555,20539.937447,20368.349468,20553.800345,20525.983254,20396.00395,20525.036307,20462.928533,20464.101199,20504.051399,20468.089771,20538.440813,20417.964978,20569.165808,20438.592951,20498.980108,20553.502242,20508.719419,20559.182096,20426.40687,20424.378361,20445.868347,20504.342894,20278.216795,20303.065248,20244.039346,20564.442742,20342.57955,20516.458825,20446.109423,20481.236605000002,20458.428481,20377.599973,20244.442158,20572.300317,20412.535259,20547.268934,20595.083815,20267.373006,20521.714035
9,20539.201869,20458.151148,20602.095153,20410.158762,20487.086628,20207.759992,20522.230212,20549.128785,20209.82831,20496.131949,20455.682566,20569.745015,20452.577671,20492.208401,20534.394998,20508.007883,20503.690988,20103.267756,20387.549423,20230.493885,20240.478098,20521.639174,20588.403617,20631.793583,20424.694695,20503.775934,20583.102097,20418.595758,20490.142793,20410.686499,20445.559595,20296.317373,20579.712998,20268.869994,20530.601974,20495.645899,20582.857722,20581.832516,20613.079850000002,20444.428721,20490.652076,20403.484117,20504.263222,20410.822539,20434.609126,20451.841201,20544.211593,20650.301034,20318.636928,20470.759111,20536.81338,20418.642731,20166.373225,20570.663121,20346.068457,20539.162448,20502.809708,20542.539328,20498.440837000002,20405.796178,20493.749539,20358.069676,20462.13458,20482.953876,20394.558112,20512.91228,20445.055924,20463.023102,20462.315808,20467.592164,20446.775048,20406.99902,20566.102927,20394.8461,20492.976786,20482.268023,20498.910587,20558.401076000002,20423.720958,20424.167624,20377.08071,20502.350948,20271.900935,20226.910737,20166.872023,20541.812331,20234.487997,20486.519595,20438.692201,20467.283683,20361.528808,20376.850197,20238.438836,20572.058615,20408.589765,20546.917135,20436.467013,20169.497998,20518.651154
10,20526.010692,20445.887481,20601.014597,20401.606189000002,20435.340914,20204.215132,20520.660011,20548.182662,20207.727817,20475.333135,20426.978454,20548.89679,20445.202221,20490.115517,20500.754816,20504.53628,20503.193382,19865.693138,20384.004563,20161.831334,20239.032261,20520.758916,20587.495143,20623.396304,20422.804722,20489.399333,20532.497184,20353.113584,20488.593451,20383.220494,20442.167876,20286.445488,20509.02033,20256.54869,20479.997061000002,20494.096557,20582.646985,20549.118962,20612.812585,20438.104537,20481.429963,20381.831071,20501.235141,20342.034902,20428.284942,20386.359027,20542.32162,20648.532452,20305.691444,20466.14489,20535.861069,20402.769625,20164.483252000002,20561.543202,20342.689194,20518.843452,20502.500045,20459.566451,20493.488603,20399.11586,20491.69085,20345.464589,20444.044802,20477.767914,20384.74928,20508.292173,20438.375606,20456.707242,20460.9957,20466.633959,20442.080283,20405.678913,20510.046365,20365.152924,20420.927993,20453.929429,20463.590507,20556.40913,20394.027782,20384.803898000002,20299.913387,20475.395027,20258.709759,20221.874403,20126.920821,20541.502669,20230.156336,20473.139563,20437.176742,20466.533907,20358.621975000002,20369.493337,20229.42416,20563.754697,20407.637454,20503.170284,20428.348068,20165.777913,20505.459977
