Sim1,Sim2,Sim3,Sim4,Sim5,Sim6,Sim7,Sim8,Sim9,Sim10,Sim11,Sim12,Sim13,Sim14,Sim15,Sim16,Sim17,Sim18,Sim19,Sim20,Sim21,Sim22,Sim23,Sim24,Sim25,Sim26,Sim27,Sim28,Sim29,Sim30,Sim31,Sim32,Sim33,Sim34,Sim35,Sim36,Sim37,Sim38,Sim39,Sim40,Sim41,Sim42,Sim43,Sim44,Sim45,Sim46,Sim47,Sim48,Sim49,Sim50,Sim51,Sim52,Sim53,Sim54,Sim55,Sim56,Sim57,Sim58,Sim59,Sim60,Sim61,Sim62,Sim63,Sim64,Sim65,Sim66,Sim67,Sim68,Sim69,Sim70,Sim71,Sim72,Sim73,Sim74,Sim75,Sim76,Sim77,Sim78,Sim79,Sim80,Sim81,Sim82,Sim83,Sim84,Sim85,Sim86,Sim87,Sim88,Sim89,Sim90,Sim91,Sim92,Sim93,Sim94,Sim95,Sim96,Sim97,Sim98,Sim99,step
31564.551103297497,31655.076649155653,31680.094340030653,31680.49530515565,31599.519837136606,31547.91231982232,31669.61930559613,31671.12432941853,31623.447658655652,31679.955411155654,31679.553627994363,31660.900949988987,31672.60480490565,31682.280267155653,31680.168581155653,31599.442451190374,31681.0224856405,31466.801338917787,31681.60168315565,31667.72303302708,31623.358270938985,31442.58978648202,31648.71979229851,31639.532406432067,31681.17174575565,31664.52729815565,31564.551103297497,31554.991627396874,31654.32259065565,31672.745162155654,31676.704326735413,31600.64858290565,31681.630771863987,31524.478139105653,31554.991627396874,31680.369801855653,31588.12046990565,31564.551103297497,31518.0787166372,31681.630771863987,31668.460571555654,31679.660337155652,31628.309399238984,31674.188406155652,31653.677178276164,31679.535649655652,31554.991627396874,31585.05399792912,31677.232419322318,31594.829524405654,31632.621037148256,31588.12046990565,31625.454902113986,31666.52399715565,31665.37661147232,31664.039969655652,31629.230968905653,31675.685647155653,31554.991627396874,31640.075644880057,31682.312292155653,31625.454902113986,31616.537136405652,31611.07722507232,31679.507376155652,31682.312292155653,31639.532406432067,31668.239412738985,31673.488673588985,31671.790848510198,31679.88498365565,31675.534254505652,31553.78974770237,31680.965922655654,31671.12432941853,31564.551103297497,31679.975558613987,31473.11863394454,31664.126843271722,31679.020918509817,31679.444792238985,31674.59164911994,31663.38558232232,31678.906138155653,31679.553627994363,31554.991627396874,31579.903205655653,31657.769578155654,31673.15240940641,31397.418843405652,31564.551103297497,31661.42664864478,31680.426964655653,31681.41147587113,31658.300209655652,31564.551103297497,31653.677178276164,31639.593852155653,31638.090646288987,1
31560.284018297498,31645.67506440641,31578.048967129642,31669.065640418532,31383.767181898736,31414.04307737589,31653.190785037306,31628.102741694947,31494.68341220237,31666.98331263841,31678.826684711028,31639.35733634732,31589.570647886605,31452.213875326484,31562.165690297497,31471.880084431596,31650.850494543814,31339.238972159008,31554.039316396873,31540.1606662683,31495.795904180206,31278.114508963572,31532.566282355652,31596.484522932067,31589.86211327051,31634.355307058966,31436.98873653872,31546.93331406354,31526.760223896872,31671.574475155652,31675.977383452082,31473.086216146872,31565.833648929205,31460.760625105653,31552.393044396875,31646.53559999851,31460.558103146872,31428.20711125345,31390.51634987842,31563.627881005832,31625.438983832068,31606.887924280654,31585.2878115154,31528.390580472318,31562.36754579102,31550.77140320237,31546.93331406354,31554.88200683243,31559.229528464166,31476.8266335475,31505.058670389477,31505.008926940376,31507.45201125583,31619.702255626114,31662.96441197232,31546.037078797497,31501.668602146874,31557.682756297498,31345.556267185762,31575.272517380057,31564.309401297498,30553.22866570839,31498.534245547497,31610.15400278065,31533.70955047232,31666.972401655654,31430.097046220955,31539.4751662857,31664.087088839744,31606.3086747602,31617.276092238986,31632.51266678207,31508.567039452366,31645.289120655652,31642.247513539045,31436.98873653872,31659.807419113986,31414.52270886121,31620.379993021725,31678.245751509818,31632.623050709448,31547.02928236116,31545.382691464165,31551.343771396874,31588.243995509216,31548.554665396874,31482.40320942912,31634.03654899494,31544.388162953124,31248.392176482303,31462.50573039649,31652.361328078117,31552.864597896874,31673.353162537795,31616.126309519288,31562.392026297497,31533.284432442833,31521.590961297497,31428.655286077876,2
31546.319565397498,31518.11269764763,31450.486600370863,31666.04729591853,31216.455609915403,31411.149420375892,31643.914950037306,31388.138534021316,31376.680521344213,31617.050355631014,31632.00494318149,31566.584923472317,31547.39674775024,31451.378779326486,31478.440618033863,31470.159904431595,31604.172773043814,31317.69535851734,31338.286661159007,31372.849094284968,31424.319135096874,31277.872806963573,31403.80203590237,31535.738160986286,31462.29974651173,31626.359979058965,31416.06107737205,31500.25559256354,31439.70907904544,31537.705232709224,31654.433769810414,31430.06462842329,31561.925490304202,31387.544581105652,31309.12336753462,31618.30419649851,31244.805447909006,31299.442864800167,31371.352520711753,31489.898787672497,31619.002021832068,31596.59836519732,31551.45360965826,31514.936030722318,31561.827883124355,31432.768512344213,31537.03519531354,31427.319640073652,31472.17838361273,31456.191218547498,31387.055779531325,31475.316574458233,31379.889644497052,31470.67558870277,31605.865319930654,31543.319268186387,31461.704411146875,31554.768510297497,31326.38785535243,31544.425542380057,31436.74703453872,30511.61554670839,31362.19025350345,31593.38636869732,31420.468923967557,31539.410034896875,31385.315721403695,31505.7057897857,31649.25612771117,31603.5878598227,31607.020533819115,31613.199101198734,31487.735002452366,31644.513953655653,31599.22592581546,31347.570779955386,31597.40763707232,31376.59871161121,31405.859345521723,31671.658417978568,31631.36901570945,31522.77549786116,31416.618445010878,31456.70938303919,31470.241104651064,31509.788729896874,31435.72548792912,31625.64421299494,31485.652259118626,31242.076058982304,31459.411954396488,31642.815802342004,31522.692606800185,31545.790795779016,31613.226721519288,31519.9136770219,31521.561545442833,31518.363184830832,31315.414659573114,3
31411.677891064166,31489.235881768145,31447.11512028753,31663.39052991853,31196.851165315406,31398.45510487589,31636.063504628215,31305.02699105604,31249.118154585434,31563.727330381014,31503.240696728208,31541.71950644732,31535.523739750242,31445.5961586122,31308.63617153386,31454.286798431596,31485.137885706314,31296.325366290068,31308.114670062318,31359.914405725445,31422.917956096873,31264.938118404047,31403.53042965237,31482.415135736286,31460.14066951173,31605.527942058965,31400.84808453872,31393.11474456354,31395.740765545437,31524.73313419198,31643.66923707708,31425.61567992329,31506.416402804203,31378.14299635641,31299.172716340177,31609.91186049851,31230.712025309007,31166.694378200165,31242.58827425847,31387.85341477149,31603.66213133207,31469.03599843854,31423.89124289948,31448.91917297232,31553.512620124355,31298.126838010878,31520.452389456397,31324.257054518097,31470.05135411273,31448.77399638083,31360.157052031325,31357.313683600078,31374.402410997052,31469.695814377767,31605.325657263988,31539.700025336388,31450.299192146875,31547.364021297497,31312.294432752427,31541.849244380057,31269.435462555386,30393.612655850236,31357.92316850345,31543.453411689923,31302.466033109402,31448.10040241173,31367.00332237691,31387.702898927546,31639.729691996887,31593.236994989365,31568.00219593578,31562.4465411154,31320.423430469033,31626.086802771722,31489.957794767382,31347.422350955385,31572.54222004732,31366.309152527876,31404.145524021726,31658.06512247857,31586.14630745945,31373.74883093781,31413.190328010878,31230.85004951511,31427.21172731773,31471.864732646874,31425.87656672912,31624.222901494937,31479.641545868624,31138.965854082304,31447.110661396488,31604.137816342005,31393.9283603469,31531.124031029016,31585.171043185954,31289.847285192736,31521.287818442834,31516.11176033083,31186.650413119827,4
31383.106817564163,31477.806217031022,31379.13930378753,31600.25974191853,31174.179974546176,31272.09798632589,31631.138469628215,31233.13841005604,31242.681192585434,31557.219040381016,31500.44420260321,31414.15713968854,31407.961372991464,31402.574570888617,31303.98547184636,31286.975226448263,31458.299720706313,31240.81627879007,31275.47255806232,31346.321110225446,31306.764446154015,31220.220023404047,31379.276645152368,31428.170540819618,31457.12232501173,31596.462621492297,31392.54416666372,31365.62667128973,31385.93193354544,31499.798518559543,31516.1068703183,31419.17871792329,31459.594661274667,31260.140105498256,31289.322086547516,31481.147614045225,31227.711659147717,31119.489928900166,31239.525393258467,31161.99408124741,31590.75621683207,31462.35567993854,31359.01738739948,31447.776654687794,31456.012623897823,31241.02774596921,31517.34318753973,31308.383948518098,31460.98603354606,31442.596722880833,31359.321956031323,31342.34124110008,31356.97813743455,31342.133447618988,31584.198311753116,31536.740440336387,31437.997899146874,31463.638949033862,31308.88058975243,31423.8463535219,31255.053169805386,30387.328992350234,31230.36080174467,31445.95341546339,31214.741563359403,31447.844080411727,31366.276379093575,31387.124332927546,31628.258496996885,31456.89300294532,31523.538848069114,31549.23430728207,31202.42053961088,31611.993380171723,31440.024837759986,31325.87873731372,31570.15680704732,31319.48741099834,31341.014736021723,31654.9559205619,31581.30031165945,31363.93999893781,31389.457298850164,31229.318540999957,31406.82932694273,31446.999315621873,31418.76226812912,31612.75170649494,31473.894588368625,31046.792644062305,31237.675301185376,31404.162452092005,31377.499839788077,31449.7279654638,31359.311709661877,31162.284918433958,31426.85429419283,31494.984414819963,31185.741937994826,5
31362.1791583975,31470.33618078102,31377.88526878753,31585.0467490852,31173.912709546174,31253.44775095089,31623.08015629488,31202.966418959353,31213.804376705946,31453.541389381015,31470.27221150652,31407.375833466318,31383.095955966462,31307.940182530932,31302.842953561838,31283.24556394826,31401.753328206312,31231.414694040825,31247.98448478851,31340.471442805207,31303.126734404017,31195.699306404047,31261.273754294212,31218.735180608506,31436.19466584506,31589.386893992298,31349.522578940134,31344.25667906246,31218.620361562105,31498.84620755954,31500.076873318303,31336.06717495801,31415.115778324667,31252.042359998257,31288.068051547518,31454.982445295223,31226.290347647715,31082.861678400164,31235.877537258468,31115.172339717872,31507.64467386679,31333.591433485253,31358.48351054948,31409.010719187794,31425.840632801133,31237.918544052547,31506.847756839732,31201.280424453995,31459.805924246062,31345.096726654298,31316.30036830774,31312.16925000339,31126.911745605386,31276.65127386899,31563.27065258645,31463.916781586388,31436.883006646873,31458.27426053386,31222.38770012743,31408.873911021903,31248.616207805386,30313.599899016903,31226.452643119672,31317.189169010107,31000.2209158594,31445.717050911728,31355.347139656074,31385.664686748976,31565.612272996885,31433.159973784605,31356.22727608578,31482.142898848735,31177.55512258588,31562.853997880058,31437.13118075999,31295.70674621703,31568.98612004732,31289.31541990165,31227.774109516962,31633.412306920236,31452.536065206164,31306.840906896145,31383.446585600166,31220.926204999956,31376.65733584604,31327.964428284373,31203.009612891252,31485.18933973616,31346.332221609846,31039.24062110397,31227.82467139272,31188.40979685414,31362.01708949363,31357.280087820942,31358.271222161875,31159.402512933957,31412.226083292833,31461.84414706996,31182.63273607816,6
31077.0440076475,31468.268218281024,31354.47277828753,31542.025161361613,31110.781921546175,31239.35432835089,31393.013764465715,31199.87264295935,31000.341718768446,31435.864774881014,31458.842546769396,31354.05280821632,31291.786323481316,31256.29823253093,31286.15587145199,31233.312606940868,31382.148883606314,31148.303151075546,31241.374758970327,31222.46855194705,31250.459792104015,31187.384043404047,31239.620710127547,31091.172813849727,31415.31580638854,31461.82452723352,31339.671949147476,31316.931553954124,31215.248881478772,31479.682378392874,31466.242671461157,31285.31461487468,31317.615782098135,31235.613839439433,31159.30380509423,31396.246541460725,31223.71191210605,31068.768255800165,31235.298971258468,31108.39103349565,31416.335041381644,31325.588555485254,31355.88492754948,31408.283775904463,31357.414438301133,31110.35617729377,31415.538124354585,31151.347467446598,31450.38470124606,31328.56662073763,31307.90803230774,31209.05904510339,31079.208071355384,31217.91537003449,31504.53474875195,31350.676155081626,31434.325011646873,31442.40115453386,31215.31197262743,31358.55874148857,31223.681592172947,30226.548754165466,31167.716739285173,31103.726511072608,30966.4515393594,31437.351462911727,31348.737413837895,31367.352287722188,31561.434443496888,31390.98607364824,31320.55047408578,31463.83049982195,30937.59091491225,31435.29163112128,31416.736215447487,31065.640354387866,31560.67085704732,31266.685008957207,31224.68033351696,31621.787462747157,31387.053891456166,31306.11396361281,31324.668080350166,31177.904617276374,31366.806706053383,31313.014718906597,31186.82691589125,31472.86803573616,31136.896861398734,30994.777273237305,31206.28105775105,31146.235896717775,31278.905546528353,31355.74857930579,31315.24963443829,31100.66660909946,31384.753895792834,31248.381489132462,31181.79764007816,7
31076.9486226475,31466.894833531023,31337.88997243039,31536.175493941377,31101.38033679693,31230.532770350892,31392.479887615715,31156.824759459352,30897.231513868446,31328.76125081691,31331.280180010617,31351.860665716318,31268.956958981318,31138.295341672776,31257.2790555725,31220.340508423626,31337.36755878905,31119.23885960097,31138.264554070327,31180.294651810687,31232.03264122009,31128.64813956955,31221.193559243617,31044.35107232019,31413.72773488854,31460.23645573352,31285.427354230807,31171.13372827079,31132.21472445972,31462.504995709543,31348.239780603006,31268.78450895801,31316.635962098135,30995.649631765802,31041.30091423608,31390.709560460724,31214.89035410605,30941.205889041386,31216.87182037454,31107.438722495648,31375.15504946498,31324.0570469701,31350.34794654948,31345.637551904463,31355.002238801135,31102.504731884677,31370.756799537325,31141.55525579954,31321.620454792777,31215.32599423287,31304.54956330774,31184.12442947095,31051.719998081575,31159.319444951157,30432.308512346353,31311.65781719829,31316.322120788718,31389.72304078386,30985.245580798262,31353.02176048857,31212.251927435824,30223.400501665466,31167.505426785174,31102.812104322606,30962.979936359403,31378.755537828394,31346.485989337893,31357.096729302317,31489.404282496886,31377.392778148238,31280.14048075245,31387.95305107195,30773.1156373938,31376.025858621277,31287.971968994203,31032.570635657095,31518.192507771724,31207.94910512271,31130.04594515928,31619.209027205492,31342.590543589497,31299.09422396281,31274.73512334277,31083.471093026372,31259.70318198928,31221.70508642145,31165.06668014125,31370.822662835148,31082.65226648207,30944.844316229908,31078.71869099227,31096.30293971038,31260.478395644426,31354.57789230579,31303.81996970117,30900.69124484946,31257.19152903405,31215.298445132463,31063.794749220007,8
31014.548840605832,31422.431485664358,31324.686718367888,30463.94925753578,31042.644432962432,31000.466378521724,31304.755417865716,31062.190371101668,30852.008805618447,31201.198884058133,31101.213788181452,31187.385388197865,31254.125997852745,31117.900376360278,31238.851904688574,30994.481174899545,31320.190176105716,30990.474613147686,30912.405220546247,31131.155269519022,31216.549890925642,31117.292122402883,31021.218194993617,30818.49173879611,31295.724844030385,31370.818499150184,31265.25921473081,31053.13083741264,31014.211833601566,31316.70717002621,31347.528979603005,31140.020262504724,31271.854637280874,30923.761050765803,30995.915830557507,31389.112402960727,31213.71966710605,30940.544486916388,31003.40916243704,30978.674476042364,31257.152158606823,31274.12408996271,31332.035547522693,31253.46434188446,31353.859720516608,30956.706906201343,31252.75390867917,31012.791009346256,31302.45662562611,31213.258031732872,31299.377717582738,31165.69727858702,31042.898440081575,31114.538120133893,30402.136521249668,31306.485971473292,31257.726195705385,31383.54576728386,30836.218913874913,31328.08714485613,31168.006649060822,30212.635968932133,31123.758576535172,31082.643964822604,30941.436322717735,31260.752646970242,31217.72174288461,31340.866653302317,31477.082978496885,31350.067653039907,31162.137589894293,31269.950160213793,30704.6894428938,31375.758593621278,31278.1230477942,31031.08001949043,31459.456603937226,31080.386738363926,31115.392948459277,31519.68034562216,31283.394820372832,31290.27266596281,31266.73224534277,31076.861367208192,31238.775522822612,31221.12652042145,31163.886570841252,31367.464642335148,30988.017878124385,30817.28194947113,31070.326354992274,31049.48119818084,31259.55517335276,31327.100547305792,31296.28935770117,30900.53404884946,31254.082327117387,31207.240131799128,31052.865509782507,9
30886.986473847053,31304.428594806202,31188.34272632384,30444.34481293578,30995.822691432895,30791.031018310612,31294.630675615714,31045.008359518335,30851.281862335112,31083.19599319998,31088.332848181453,31143.396314697864,31244.59956213846,31051.70338929361,31111.289537929795,30979.508732399547,31313.479390230717,30987.916618147687,30887.620804546248,31002.39102306574,31173.52830320206,31025.982489917737,30900.825449160286,30815.57749279611,31166.9605975771,31370.546892900187,31258.82225273081,31007.908129162635,30997.52475149172,31273.685582302624,31288.793075768506,31103.593208504724,31144.29227052209,30880.0142005158,30755.951622883877,31261.550036201945,31170.698079382466,30867.772074041386,31002.90003018704,30851.112109283586,31155.106785705815,31210.99330196271,31310.49193388103,31125.901975125682,31348.40498176661,30913.685318477757,31193.64757317917,31010.906942012924,31199.34642072611,31084.493785279585,31264.177601582738,31036.933032133737,31006.10817174824,31064.22295060056,30372.359084749667,31277.609155593804,31256.006015705385,31237.74794160053,30820.879023374913,31307.159485689463,31165.250625560824,30085.073602173354,31100.70338153517,30946.299972778557,30936.071634217737,31168.68814134524,31216.579224600086,31243.366657075785,31267.647618285777,31329.188793583384,30946.384934656428,31241.761122713793,30683.814656560466,31278.258597394746,31048.056655965036,31029.327583040427,31444.625642808653,31078.634301913928,30997.390057601122,31492.208158122157,31275.54337496374,31268.619621796144,31200.535258276104,31074.064873083193,31110.01127636933,31208.92945392145,31159.904965966252,31358.80511283515,30979.713960249384,30809.96597672113,31027.27847149227,30809.516990507214,31247.291505852758,31257.3753985622,31162.44486126739,30889.16238034946,31152.036954216375,31097.97200075105,30925.303143023728,10
