ext_fraction,Genus,age,mean_age,richness,threatened_species,proportion_threatened
low_ex,Abies,123.052593833334,64.73981279846633,2,1,0.5
low_ex,Acer,22.4989860000003,19.326233931154345,4,0,0
low_ex,Achillea,1.1563805000004,1.1463621962176964,14,0,0
low_ex,Aconitum,16.4878615000003,14.705032298021125,7,3,0.42857142857142855
low_ex,Actaea,16.4878615000003,14.705032298021125,1,0,0
low_ex,Adenocarpus,1.2264120000004,1.215151129153588,9,1,0.1111111111111111
low_ex,Adenostyles,4.11959450000023,3.9959591035625497,2,1,0.5
low_ex,Adiantum,44.0213056250003,33.4522881135582,1,0,0
low_ex,Adonis,44.7180950000003,33.85552458142448,7,0,0
low_ex,Adoxa,11.7375280000002,10.798725347845188,1,1,1
low_ex,Aegilops,0.524660000000227,0.5225850399330817,4,0,0
low_ex,Aegonychon,1.12204200000017,1.1126067172632332,2,1,0.5
low_ex,Aegopodium,11.7228870000001,10.786310857431605,1,0,0
low_ex,Aeluropus,0.710249500000398,0.706453804940492,1,0,0
low_ex,Aethionema,28.1539090000002,23.379390222587762,4,0,0
low_ex,Aethusa,1.77717800000023,1.7536565832903115,1,1,1
low_ex,Agrimonia,28.5289580000003,23.638850150087436,3,0,0
low_ex,Agropyron,1.11377200000017,1.1044745472998463,1,0,0
low_ex,Agrostemma,9.9506513333335,9.265701577489422,1,0,0
low_ex,Agrostis,0.285643750000171,0.2850272732857633,21,2,0.09523809523809523
low_ex,Aira,1.84360700000023,1.8183103823396976,8,0,0
low_ex,Aizoon,9.38571400000023,8.7733785284998,1,0,0
low_ex,Ajuga,8.19203610000034,7.720703478194167,5,0,0
low_ex,Alchemilla,19.4193670000002,17.001257307449514,84,33,0.39285714285714285
low_ex,Alisma,28.3385940000003,23.507296315103773,2,0,0
low_ex,Alkanna,2.09278600000023,2.060266562048428,2,0,0
low_ex,Allagopappus,1.64508090000034,1.624900698475291,1,0,0
low_ex,Alliaria,9.01467600000023,8.447989980255986,1,0,0
low_ex,Allium,42.2570992500003,32.41761889073729,33,4,0.12121212121212122
low_ex,Alnus,27.2796219000002,22.7701641367968,1,0,0
low_ex,Alopecurus,0.888125000000171,0.8822002795040647,7,0,0
low_ex,Althaea,3.96762650000028,3.8527830120639925,4,0,0
low_ex,Alyssum,4.52348820000023,4.374975500617246,15,4,0.26666666666666666
low_ex,Amaranthus,15.5112370000002,13.921183443933723,3,0,0
low_ex,Amelanchier,3.83976450000028,3.732076071621537,1,0,0
low_ex,Ammi,12.6607713333334,11.576780099315762,2,0,0
low_ex,Ammoides,10.6233370000001,9.847091507580648,1,0,0
low_ex,Ammophila,0.385415400000171,0.3842941514407044,2,0,0
low_ex,Ampelodesmos,0.953450000000227,0.9466259741062371,1,0,0
low_ex,Anabasis,6.89426750000023,6.556603081707572,1,0,0
low_ex,Anacamptis,6.55786950000028,6.251435903934512,1,0,0
low_ex,Anacyclus,1.4227102500004,1.4075847026561812,6,3,0.5
low_ex,Anagallis,7.55408400000017,7.1510543436004514,5,1,0.2
low_ex,Anagyris,10.2493110000003,9.52447152841305,1,0,0
low_ex,Anarrhinum,4.62010700000017,4.465319725489691,4,1,0.25
low_ex,Anchusa,3.72008500000017,3.6188924504408124,4,1,0.25
low_ex,Andrachne,37.4395560000002,29.48858557783493,1,0,0
low_ex,Androcymbium,9.58780300000029,8.949921145965057,1,1,1
low_ex,Andropogon,0.438948000000398,0.43749440649542454,1,0,0
low_ex,Androsace,23.9216000000002,20.371491922839134,20,8,0.4
low_ex,Andryala,13.129466666667,11.968200252671345,8,1,0.125
