ext_fraction,Genus,age,mean_age,richness,threatened_species,proportion_threatened,ev.dist,mean_lambda,sd_lambda
low_ex,Abies,237.574622,110.51260879957309,1,0,0,279.1588715891962,0.0068839578182912815,NA
low_ex,Acer,68.6625540000001,52.0580688385628,2,2,1,130.75536837172115,0.023900795553146264,4.5004977665358644e-4
low_ex,Achillea,1.52273099999999,1.5114666767495837,5,5,1,63.65710370967923,0.2750597409935714,NA
low_ex,Adenocarpus,2.17569400000005,2.152791491298102,4,3,0.75,64.27221292552954,0.4627945558309093,0.021631435770194857
low_ex,Adonis,69.143839,52.33588195575036,5,5,1,131.09470971927135,0.02164266964718612,0.0010434907580894695
low_ex,Aegilops,0.582355999999936,0.5806986800686638,4,4,1,63.72939848645406,1.4185984330665293,0.14116251707530167
low_ex,Aeluropus,1.373386,1.3642142830152728,1,1,1,64.51854881666016,0.42975753311530884,NA
low_ex,Aethionema,60.7463660000001,47.35108923366989,2,2,1,122.8433627823618,0.030084470161451847,NA
low_ex,Aethusa,8.18432099999999,7.871817004854707,1,0,0,70.31871099756114,0.08953245616250188,NA
low_ex,Agrimonia,51.745716,41.66669506860409,3,3,1,113.83381348473915,0.025927198069464613,NA
low_ex,Agropyron,2.35723799999994,2.3303843218593516,1,1,1,65.50427834085167,0.6076078822298414,NA
low_ex,Agrostemma,9.95065399999999,9.493444978704636,1,1,1,72.12071161302072,0.12642160864816818,NA
low_ex,Agrostis,0.197100999999992,0.19691068775608572,10,9,0.9,63.344147499315106,2.146054708580189,0.4787272435995132
low_ex,Aira,1.84360999999999,1.827131221963623,4,4,1,64.99065746435187,0.6756207812616899,0.004111685837768187
low_ex,Ajuga,12.6050889999999,11.882474803760672,2,2,1,74.76189441893202,0.10979333943391795,NA
low_ex,Alisma,28.338596,24.977725240628207,2,2,1,91.66295903508504,0.01315592099760226,NA
low_ex,Alkanna,6.9507400000001,6.7236888899057,1,1,1,69.12224916324648,0.09793209235386142,NA
low_ex,Alliaria,9.01468000000005,8.63738902923237,1,1,1,71.11464677472259,0.09666911700461181,NA
low_ex,Allium,50.079299,40.573037434071175,21,20,0.9523809523809524,112.87062992066458,0.05874477143857688,0.014268308364662818
low_ex,Alnus,27.2796259999999,24.14881887766254,1,1,1,89.36864755162404,0.026612189610474582,NA
low_ex,Alopecurus,1.25720600000005,1.2495147827291413,2,2,1,64.40425219079904,0.8167661171000722,NA
low_ex,Althaea,4.92650800000004,4.811050230355036,4,4,1,67.02055929653396,0.14167320140969666,0.08113432873033825
low_ex,Alyssum,4.5234930000001,4.42591397222471,11,11,1,66.62348625593167,0.24553204831761186,0.03443220111278421
low_ex,Amaranthus,38.4492610000001,32.552705627886766,2,2,1,100.62068327935096,0.04282914159196968,NA
low_ex,Ammi,12.6607730000001,11.93198973050502,2,2,1,74.79516338059304,0.07445002218168059,0.008610900741361215
low_ex,Ammoides,14.8405290000001,13.85134235116866,1,1,1,76.97491993886479,0.059711405527759755,NA
low_ex,Ammophila,0.385418999999936,0.38469216344116,1,1,1,63.53246561685497,1.8337165594733396,NA
low_ex,Anabasis,18.4503540000001,16.951239824396588,1,1,1,80.62328240707684,0.04688114786059807,NA
low_ex,Anacyclus,1.52273099999999,1.5114666767495837,3,3,1,63.65710370967923,0.3029364214554128,NA
low_ex,Anagallis,19.2413990000001,17.617871765114884,4,4,1,81.40487859555483,0.03671093227093694,0.0016264917152521343
low_ex,Anagyris,30.7768220000001,26.859794937103807,1,1,1,92.87293402309244,0.0497566132571776,NA
low_ex,Anarrhinum,4.62010899999999,4.518376978408315,2,2,1,66.77767912068842,0.10022981919679662,NA
low_ex,Anchusa,3.7200900000001,3.653769405684113,4,4,1,65.89196172707983,0.0721549227610138,NA
low_ex,Androcymbium,106.459684,71.30634040616938,1,1,1,169.22738554677187,0.01508349621189521,NA
low_ex,Andropogon,0.0953879999999924,0.09534339772312558,1,1,1,63.24074938864248,0.3405018925034571,NA
low_ex,Androsace,29.29965,25.723928037775423,3,3,1,91.4626812822919,0.027123377103590942,6.408220048538578e-4
low_ex,Andryala,13.1294690000001,12.347797466363255,5,5,1,75.26385361007009,0.07508932170351802,5.687707646088291e-4
low_ex,Anemone,23.681202,21.27850625967538,2,2,1,85.64772990578493,0.03744752832792687,NA
low_ex,Anogramma,43.047887,35.80765655326998,1,1,1,97.50451701928634,0.009255315329069761,NA
low_ex,Antennaria,0.672502000000052,0.6702931359724388,1,1,1,62.806867836389486,0.3129956674210172,NA
low_ex,Anthemis,1.51546399999999,1.5043064266615798,2,2,1,63.64983620989581,0.2988899383774661,NA
low_ex,Anthericum,68.888891,52.18883425872284,2,2,1,131.6704071439247,0.020221793231291797,NA
low_ex,Anthoxanthum,0.835099999999933,0.8316973831266157,4,4,1,63.9821459382489,1.2583069173949588,0.024805102347052705
low_ex,Anthriscus,12.1240300000001,11.453694024663058,2,2,1,74.25842293500612,0.06961190895750335,NA
low_ex,Anthyllis,4.70452500000011,4.599095578465279,15,14,0.9333333333333332,66.80059089772726,0.2378361754806244,0.02071659102399268
low_ex,Antirrhinum,2.05869100000005,2.038170575379959,7,6,0.8571428571428571,64.2162731356913,0.12788131319162713,NA
low_ex,Apera,0.267269000000047,0.26691922164776255,1,1,1,63.41431492681854,0.7578284118029781,NA
low_ex,Aphanes,38.2883740000001,32.43675841289586,4,4,1,100.37648608603538,0.021503681339038905,4.5118647381729964e-4
low_ex,Aphyllanthes,70.692672,53.22360598786335,1,1,1,133.47393768607256,0.024816834006148564,NA
low_ex,Apium,8.39728200000005,8.068715028824021,3,3,1,70.53170322835976,0.06074905153553937,0.010441606688276041
low_ex,Aquilegia,56.0565660000001,44.43518730742245,3,2,0.6666666666666666,118.02021586067762,0.01765983460822319,NA
low_ex,Arabidopsis,4.17783300000016,4.0944213962570055,1,1,1,66.27778524012756,0.10281288702736241,NA
low_ex,Arabis,5.9113610000001,5.746112769251549,10,9,0.9,68.01136050969095,0.29643832106967644,0.19322503443709788
low_ex,Arbutus,43.7468530000001,36.292588810300494,1,1,1,105.90471018387066,0.020998624720409528,NA
low_ex,Arctium,1.76858399999999,1.753412033183855,1,1,1,63.90308727447042,0.6809133907256532,NA
low_ex,Arenaria,14.708948,13.736515079786574,27,26,0.9629629629629628,76.87897889164357,0.07497441214067493,NA
low_ex,Argyrolobium,3.76328499999999,3.6954333132271446,1,1,1,65.85980081410685,0.33401736084096534,NA
low_ex,Arisarum,21.6530469999999,19.62305710258844,3,2,0.6666666666666666,85.32713108056495,0.01757634043001975,NA
low_ex,Aristolochia,147.06522,87.21044266228475,3,3,1,208.53212233131487,0.011891319507466807,4.6912373315172054e-4
low_ex,Armeria,30.1179260000001,26.354783449781497,17,7,0.4117647058823529,92.26893514834072,0.032839892972484554,0.00265345396016962
low_ex,Arnoseris,3.63314499999999,3.569854464416269,1,1,1,65.76762285170646,0.1590192455804484,NA
low_ex,Arrhenatherum,0.968360999999936,0.9637896353172702,5,3,0.6,64.1154078957764,1.2518100874505906,NA
low_ex,Artemisia,4.63646900000005,4.534025424873101,11,9,0.8181818181818182,66.77084214385482,0.19477535555628184,0.004569295191998674
low_ex,Arthrocnemum,9.4141760000001,9.003661196915935,1,1,1,71.58721920679571,0.06132414847156216,NA
low_ex,Arum,21.6530469999999,19.62305710258844,2,2,1,85.32713108056495,0.01774804443788361,2.0473776123744252e-4
low_ex,Asparagus,64.8031310000001,49.79606147881863,4,4,1,127.58489676890947,0.015876460881476744,NA
