step,Sim1,Sim2,Sim3,Sim4,Sim5,Sim6,Sim7,Sim8,Sim9,Sim10,Sim11,Sim12,Sim13,Sim14,Sim15,Sim16,Sim17,Sim18,Sim19,Sim20,Sim21,Sim22,Sim23,Sim24,Sim25,Sim26,Sim27,Sim28,Sim29,Sim30,Sim31,Sim32,Sim33,Sim34,Sim35,Sim36,Sim37,Sim38,Sim39,Sim40,Sim41,Sim42,Sim43,Sim44,Sim45,Sim46,Sim47,Sim48,Sim49,Sim50,Sim51,Sim52,Sim53,Sim54,Sim55,Sim56,Sim57,Sim58,Sim59,Sim60,Sim61,Sim62,Sim63,Sim64,Sim65,Sim66,Sim67,Sim68,Sim69,Sim70,Sim71,Sim72,Sim73,Sim74,Sim75,Sim76,Sim77,Sim78,Sim79,Sim80,Sim81,Sim82,Sim83,Sim84,Sim85,Sim86,Sim87,Sim88,Sim89,Sim90,Sim91,Sim92,Sim93,Sim94,Sim95,Sim96,Sim97,Sim98,Sim99
1,22812.819310594787,22712.424187969787,22740.830747594784,22812.161626894787,22812.536909594786,22782.551146873953,22769.409128094787,22772.428203879947,22812.395962094786,22810.591525594784,22812.935366094785,22786.18840167812,22803.70375531701,22802.863507094786,22755.460392594785,22810.636521594784,22792.001362344785,22690.927132594785,22804.825662594787,22796.19704485669,22757.690417969785,22809.939109544786,22779.01056426594,22798.681964094787,22764.747346407286,22810.524606311454,22805.288818594785,22726.835194844785,22810.506154094786,22760.987463761452,22812.879239594786,22802.180830094785,22799.801220594785,22783.962054114018,22798.813879094785,22778.454290694786,22812.161626894787,22771.085621121103,22780.940852844786,22808.436056594786,22805.35048876145,22797.424330594786,22808.808410594786,22790.599211594785,22804.079831594787,22812.105064907286,22811.561522469787,22806.143141594785,22785.423003094787,22805.543145344785,22746.586437344784,22574.371903594787,22811.133455594787,22801.048482344784,22772.428203879947,22786.816241594785,22769.409128094787,22756.072118448952,22757.690417969785,22799.749608448954,22810.636521594784,22755.460392594785,22807.907449094786,22786.274618111453,22777.808454094786,22813.189629594784,22810.100629094784,22792.52706113426,22797.937030094785,22800.061111094787,22747.90096852812,22793.964246894786,22810.626326094785,22701.459579261453,22808.594229594786,22789.400622094785,22811.810799594787,22805.80296117812,22813.319625594784,22810.654040503876,22790.241916219784,22810.109546594787,22812.819310594787,22812.873387294785,22812.56898492812,22744.765519094784,22812.850676094786,22811.662461094787,22810.933591694786,22800.006705844786,22810.991142594787,22809.689887594785,22810.626326094785,22794.938930794786,22712.665128600405,22618.879126761833,22812.873387294785,22807.871785594787,22747.302134094785
2,22746.92216081701,22708.269800469785,22740.256042594785,22730.27545406145,22800.623289126037,22726.587158248953,22766.346247094785,22735.799953379945,22797.44625263764,22651.974722761453,22742.057297580897,22779.95494417812,22723.115868317007,22801.855853444784,22754.995615594784,22663.571306094786,22732.222562569787,22677.036916550667,22801.926074594787,22793.061746811236,22757.541988969784,22720.521152961453,22753.56541601594,22796.623275094786,22764.164992032285,22788.541989061454,22700.993810143173,22658.409000344785,22734.880246854787,22648.79263642812,22729.85471668954,22781.61843617812,22794.054263094786,22783.387349114015,22793.066921594786,22662.65716774024,22797.379254894786,22767.122113121102,22761.543267194786,22803.829249594786,22739.71887401145,22791.440091594784,22780.577007094787,22788.989875594787,22691.691512594785,22790.22076919395,22811.294257469784,22787.39561226145,22781.702918094787,22798.403899751764,22640.126757344784,22572.619467157285,22798.528368594787,22759.670455094787,22617.992127379945,22743.069391094785,22755.815832594784,22742.13469272168,22743.800201925667,22797.65672432395,22799.670564094784,22755.117431594786,22803.942930094785,22785.50231361145,22703.974393469787,22769.442779094785,22645.204092344786,22780.26339363426,22781.425444094784,22797.014493094786,22747.065872528117,22786.825001301764,22809.845306794785,22700.99480226145,22800.228641594786,22770.685146294785,22810.201463594785,22801.83844217812,22810.040238523357,22766.907190003876,22757.158872219785,22694.31242364024,22769.072460094787,22807.27101783645,22791.69012542812,22714.826289428118,22810.684130969785,22804.881154983676,22767.186741194786,22772.727084344784,22788.36073167812,22809.111321594784,22756.457165469787,22725.213782128118,22692.63713464207,22618.783741761832,22805.759088628118,22739.19714444839,22743.582049094784
3,22728.895464817007,22639.607249969784,22722.79868085669,22727.89004106145,22713.804077376037,22706.138429248953,22765.393936094784,22581.363876879946,22797.138218637643,22646.61003426145,22739.336482680897,22757.324533261453,22720.281973817007,22801.1289097305,22742.415657594785,22656.213277094786,22729.58667223645,22645.933656829835,22801.425680094784,22693.273819852904,22751.30660743407,22716.683809461454,22737.84803951594,22795.60693675669,22763.830211032284,22768.346188061452,22690.027852643172,22656.565393344787,22685.840768354785,22637.82667892812,22725.90922268954,22756.17328792812,22793.03792475669,22773.812774114016,22792.956685594785,22652.53242549024,22795.071732394787,22759.6108481211,22690.85059875034,22796.061771469787,22730.187877511453,22790.589135594786,22775.87525530312,22765.577385219785,22611.103625594787,22773.99069319395,22656.858180969786,22781.991036261454,22723.508904094786,22797.43544275176,22637.395172344786,22565.058489273953,22686.140049594786,22758.297070344786,22605.386203129947,22683.290591319786,22744.654472469785,22679.52580130501,22736.593778342336,22765.85933082395,22794.452214094785,22621.010259187642,22750.619904844785,22727.92002546562,22695.608805469787,22768.667612094785,22631.429569950047,22765.48102163426,22781.063276094785,22731.117343317008,22742.16451652812,22774.227563301763,22782.565685294787,22699.424601261453,22771.890047594785,22742.453742794787,22803.705129094786,22791.713699928117,22796.15002247924,22700.462245003877,22729.692867303118,22624.044364640242,22765.090855219787,22764.792668540023,22773.039889928117,22620.39276517812,22732.984683825158,22771.798110983673,22763.599339194785,22768.02533255312,22732.39674305312,22803.364364094785,22752.278491844787,22719.611412669787,22684.23985564207,22614.176934761832,22752.436063378118,22735.25165044839,22697.055602094784
4,22723.490888817007,22631.209970969787,22698.46385485669,22655.066382061454,22711.283126376034,22690.421052748952,22765.283700094784,22565.181179879946,22792.213183637643,22643.330647190025,22605.229310273753,22754.939120261453,22711.916385817007,22792.1142337305,22646.547856594785,22651.311921094784,22648.998785236454,22644.987533829833,22782.67815076145,22566.6824038279,22737.713311934072,22712.467020536453,22664.354904821495,22768.76877175669,22692.952142518396,22767.746036561453,22673.51626664317,22655.072613644785,22671.131822497642,22557.238791928117,22725.058266689543,22751.956499003118,22781.23633288169,22769.643726614016,22792.004374594784,22652.38399649024,22736.108585194786,22748.8199486211,22669.60418775034,22786.111120192007,22729.91627151145,22783.908817094787,22759.36366930312,22755.165962219784,22609.845181094784,22707.545748193952,22652.70649693645,22708.26194292812,22723.241639094787,22736.600855251763,22597.443970844786,22461.38083827395,22669.957352594785,22757.344759344785,22589.668826629946,22679.919111153118,22738.907514969786,22675.580307305012,22735.417984342334,22759.625873323952,22729.665064195957,22606.593573044785,22750.471475844784,22727.09114396562,22677.142132969784,22767.72934680312,22616.259227427323,22758.16504913426,22780.344235594785,22688.06945981701,22739.418559680897,22725.18808480176,22768.884206294784,22674.19359676145,22768.270804782285,22583.836939961453,22803.126563094786,22779.91024767812,22759.35975422924,22699.44590666578,22721.556311469787,22617.36404614024,22699.608681469785,22735.100316059255,22699.310796594786,22564.42877655312,22711.370633825158,22751.456051983674,22757.363957659072,22724.870514636452,22731.07663555312,22796.684045594786,22736.429503094787,22607.223093669785,22683.968249642072,22603.21097726183,22730.45344612812,22678.53260194839,22667.363249614016
5,22682.11286156701,22624.529652469784,22597.474576862307,22626.002090597165,22684.444961376037,22686.666990248952,22764.931901094784,22565.032750879946,22790.22123813764,22582.584285210858,22592.140907648754,22587.38908589961,22710.74569881701,22789.368276883277,22638.150577594784,22649.319975594786,22647.006839736452,22643.472074329835,22775.32129088645,22557.13687794695,22706.610052213236,22700.203353036453,22663.393172821496,22712.80478313169,22692.2413415184,22752.028660061453,22665.496188143174,22652.49417807812,22668.400237497644,22553.51870692812,22689.212314189543,22742.944337108675,22769.17132488169,22766.089949114015,22759.290820844784,22641.41803899024,22620.31146224024,22679.9310611211,22668.28408025034,22780.107798192006,22728.95453951145,22546.334198719785,22758.52857330312,22686.49132107339,22503.385501094785,22644.899524193952,22624.13542343645,22707.68723792812,22709.593938344784,22724.73375391843,22593.606627344787,22447.47604012812,22638.854092873953,22743.439961198954,22587.147875629944,22678.84101465312,22730.77095913645,22673.272784805013,22682.286182175667,22759.04351894895,22687.09627872227,22602.424525544786,22745.570119844786,22706.70188296562,22628.235072782285,22767.01030630312,22615.484060427323,22731.4072315005,22769.85549097893,22595.839407067007,22727.154892180897,22724.82591680176,22761.508756294785,22581.808090761453,22694.777670087842,22583.254585586452,22801.756996469787,22755.65646317812,22717.98172697924,22697.453961165782,22720.610188469785,22615.34507452913,22692.250652469786,22642.714810059253,22598.3215186004,22525.065050719786,22637.877499130715,22710.393810683676,22755.87117795907,22691.787470636453,22711.67904990312,22662.57687318764,22672.344645344787,22564.193716336453,22682.59486489207,22580.15578226183,22693.82519562812,22678.26533694839,22661.552770814018
6,22664.468960317008,22622.14758430312,22589.170659028976,22609.772014597165,22683.944566876035,22674.087032248954,22678.439011594786,22549.315374379945,22686.543587137643,22539.42946729419,22590.820800148755,22543.64223539961,22627.721175911764,22753.522324383277,22626.745358594784,22648.061531094787,22643.025234861452,22641.379190204836,22755.92370523645,22554.11899294695,22679.132707213237,22698.45091659895,22620.345289321496,22709.17164213169,22619.417682518397,22749.86958293645,22645.047459143174,22650.435489078118,22602.646799430975,22510.47082342812,22505.105610856208,22718.445366680102,22752.61197088169,22762.252605614016,22758.455724844785,22639.57443199024,22611.29678624024,22668.063959787767,22647.83535125034,22775.938750692007,22718.829797261453,22545.618839719784,22757.20846580312,22683.21193400196,22491.980282094784,22643.891870543954,22616.32128983645,22624.970233092336,22633.439427844787,22721.987797071208,22586.189405094785,22425.71580437812,22569.965205373952,22742.857606823953,22583.202381629944,22676.67446952812,22688.20217366277,22664.258108805014,22605.70738399274,22743.326142448954,22657.403926241503,22595.744207044787,22745.474734844785,22648.50786896562,22463.338536032286,22704.36408230312,22614.65517892732,22726.8004245005,22769.74525497893,22592.42556406701,22724.255304180897,22713.42069780176,22733.170162294784,22536.900875094787,22690.780840087842,22550.171541586453,22781.367735469787,22748.23924092812,22713.98489697924,22686.663061665782,22706.719972425668,22523.114968029127,22688.205472219786,22614.143736559254,22573.822548171833,22449.187602219787,22608.82561704738,22709.30838901701,22736.47359230907,22689.26651963645,22704.16778490312,22658.407825687642,22654.944467844787,22535.855122336452,22620.07085820457,22569.58165526183,22650.670377711453,22664.490814553654,22646.603061356873
7,22664.20169531701,22617.97853680312,22566.499468028975,22592.4341544305,22519.469289357585,22581.70152624895,22672.096293594786,22518.538554458893,22662.862388137644,22525.654944899452,22532.626786148754,22541.12128439961,22620.364316036765,22750.688429883277,22599.268013594785,22448.086166844787,22599.278384361452,22620.930461204836,22751.287238792007,22536.941610113616,22652.29454221324,22690.683438473952,22573.818842321496,22707.07114913169,22618.471559518395,22746.324722936453,22618.209294143173,22649.363545411452,22582.451415330976,22509.64194192812,22493.290022356206,22717.641636180102,22666.11908138169,22740.638555614016,22754.238935919784,22632.21757211524,22579.434666948575,22664.672240704436,22638.823189355895,22748.65912919201,22715.114500211454,22541.654320719786,22756.85666680312,22681.04538887696,22471.531553094785,22627.709173543954,22611.597646836453,22560.183083193504,22550.414904939542,22666.023808446207,22581.465762094787,22359.81865460034,22565.263453582287,22715.380261823953,22582.194727979946,22662.737043800847,22592.19591266277,22615.351048617515,22482.980109992743,22734.437986448953,22645.998707241502,22592.697589044787,22702.445357511453,22643.44769196562,22455.227274782286,22698.536476303118,22606.28959092732,22726.028120000497,22755.855038934813,22458.318391659865,22722.196615180896,22703.470046523984,22718.329634794787,22526.950223817006,22619.906204730698,22548.07104858645,22769.552146969785,22713.039125028117,22645.32234647924,22685.724796374114,22667.356246592335,22517.28736202913,22607.617585219785,22476.03433118842,22568.604198171834,22420.956198719785,22547.270850964047,22705.93690885034,22632.795941309072,22620.591878490057,22702.99199090312,22650.980746937643,22634.749083744784,22535.254970836453,22612.30338007957,22569.43322626183,22496.23430121145,22631.40777055365,22575.724992842985
8,22663.701300817007,22617.40383180312,22508.760566903977,22586.831784972168,22507.995712857584,22580.763260957287,22537.989121187642,22494.284769958893,22602.027800637643,22519.651622899455,22527.566609148755,22540.62487139961,22611.617495770097,22747.558629599946,22598.548973094785,22429.619494344784,22594.55474136145,22556.143311306005,22750.568198292007,22463.448475419173,22647.393186213238,22688.64458697395,22572.880577029828,22695.26769688169,22606.669967643396,22738.362377894784,22617.87451314317,22644.43851041145,22581.872849330975,22468.26391467812,22478.317579856208,22705.840044305103,22507.502278548356,22730.149810998162,22746.922963419787,22611.768843115242,22574.827859948575,22661.052997891933,22637.988093355896,22625.931855192008,22714.285618711452,22529.562220469787,22731.41151855312,22617.39780873807,22448.860362094787,22626.00164504395,22595.72454083645,22491.294195693503,22520.475675272875,22651.074098989066,22554.007395719786,22261.80936810034,22555.688878582285,22672.332378323954,22575.698393479946,22621.510841086005,22548.449062162766,22606.798475617514,22482.47971549274,22671.91397976145,22609.208438991503,22576.514892044786,22702.07720951145,22621.68745621562,22444.653147782286,22674.28269180312,22543.64336692732,22721.696459000497,22633.127764934816,22453.393356659864,22706.255035430895,22695.333490690653,22660.590733669786,22483.920846483674,22429.365641345903,22544.31698608645,22739.859794489017,22711.54634532812,22637.761368595908,22636.817736186615,22662.431211592335,22454.678470612464,22596.212366219785,22434.298741622766,22560.238610171833,22413.395220836454,22503.524000464047,22695.712552350342,22589.748057809073,22616.627359490056,22672.215170982065,22638.375659937643,22631.357364661453,22493.519381270795,22610.24469107957,22565.81398344933,22147.119234336453,22630.034385803654,22570.799957842984
9,22632.598041096175,22543.910697108673,22493.788124403975,22439.766569472165,22447.249350878417,22511.03811229062,22529.160377187643,22424.559621292225,22596.245179637644,22516.752034899455,22507.004215232086,22508.762752107945,22597.71269762426,22717.61939993328,22587.19295592812,22425.012687344784,22573.30833036145,22546.722088306004,22728.27409854201,22445.408268669173,22547.117997713238,22686.625615362842,22473.351895529828,22667.80933050669,22605.517199643396,22727.571478394784,22603.918545220095,22643.48619941145,22552.820967247644,22441.50609704436,22474.165895822873,22702.206903305105,22158.38721167336,22686.994993081495,22702.891016776928,22610.21950142774,22564.877208670794,22658.219103391933,22634.839840855897,22602.876660192007,22704.01741085431,22519.29401261264,22718.81408055312,22563.23952463688,22443.077741094785,22621.847257543952,22594.716887186452,22471.098394693505,22508.660086772874,22630.905959489064,22531.336204719784,22244.471507933675,22499.724889957284,22666.09892082395,22571.944330979946,22548.687182086007,22532.50748241277,22591.081099117513,22480.421026492742,22670.274543261454,22598.857574054004,22568.700758444786,22681.735150511453,22593.456052715617,22367.168556782286,22672.29074630312,22481.034475510656,22656.2142852505,22631.681599712592,22436.215973826533,22694.8498164309,22676.683255190652,22620.639532169786,22476.359868600342,22405.953150970905,22542.943601336454,22736.796913489015,22613.53705882812,22514.58984175954,22603.734692186616,22661.260524592333,22441.743782095797,22595.005951019786,22433.724036622763,22558.865225421832,22342.51715232256,22502.203892964048,22678.535169517007,22588.731719470976,22589.150014490056,22671.262859982067,22633.474303937644,22630.782659661454,22489.900138458295,22608.15180695457,22556.985239449332,22146.62162783645,22616.94598317865,22563.032479717986
10,22632.326435096176,22539.187054108676,22493.639695403974,22439.499304472167,22426.002939878417,22503.02615829062,22525.406314687643,22415.138398292227,22588.477701512642,22515.923153399453,22491.28683873209,22159.647685232943,22594.991882724262,22527.078836548484,22583.47765887812,22413.099066876035,22481.078223861452,22544.730142806005,22712.400992542007,22444.69290966917,22546.861675713237,22673.690926846175,22430.8735462334,22646.93047100669,22604.197092143397,22644.854473559,22535.492350720095,22642.36870241145,22506.294520247644,22326.805622919357,22427.639448822873,22699.57101297177,22154.799809673357,22669.65713291483,22659.14416627693,22503.75982142774,22564.042112670795,22641.989027391934,22621.7514382309,22365.30204181701,22695.90614960431,22482.503744362642,22717.63828655312,22561.86995801188,22439.132247094785,22612.95910154395,22537.13459904062,22442.759800693504,22502.877465772875,22601.213607008296,22502.827902469784,22232.598499933676,21729.990727457287,22662.465779823953,22479.558824979944,22446.542516355235,22532.007087912767,22423.531064755673,22468.54801849274,22649.95554806145,22554.378691054,22541.223413444786,22679.63465751145,22569.77485371562,22346.606162865617,22576.28448530312,22477.037645510656,22642.32406920638,22591.730398212592,22435.063205826533,22672.555716680898,22674.51671006565,22577.484714253118,22455.232523139814,22339.600878470905,22534.391028336453,22735.538468989016,22594.886823328117,22513.511745259544,22600.60412422828,22629.953624092333,22440.86352392913,22591.87615073645,22425.909903022766,22495.217645282944,22331.943025322562,22472.08596929738,22672.038835017007,22573.759276970977,22577.277006490054,22670.995594982065,22624.921730937644,22619.99176016145,22483.896816458295,22477.162943955915,22555.41503844933,22116.682398169785,22572.700704678653,21793.298317217985
