step,PD
1,22748.867256695954
2,22665.84273379071
3,22566.054806832377
4,22557.30798656571
5,22474.590981729925
6,22414.812181954927
7,22288.220765929927
8,22269.473236596594
9,22146.745962596593
10,22123.42473622909
11,22097.443808024094
12,22076.433151351594
13,22053.670680846593
14,21889.19540332814
15,21868.999602328142
16,21701.449567966298
17,21658.420190632965
18,21562.552389632965
19,21554.186801632964
20,21323.767003632965
21,21321.103739632967
22,21286.459897304117
23,21232.30161320293
24,21192.35041170293
25,21126.59697363626
26,21084.118624339833
27,21072.245616339835
28,21045.48779870607
29,21007.199426456074
30,20975.89252595607
31,20781.117246123118
32,20761.089252164784
33,20760.07291382669
34,20575.966210493356
35,20488.501053993357
36,20480.940076110022
37,20404.361277927095
38,20360.614427427096
39,20273.795215677095
40,20036.220597302097
41,20005.11733758126
42,19863.769207428883
43,19790.040114095547
44,19770.642528445547
45,19754.793539695547
46,19750.641855662216
47,19683.573886412214
48,19545.46448104138
49,18775.73031854138
50,18763.66010354138
51,18760.246260541382
52,18719.020057826543
53,18674.112842159873
54,18665.10068026543
55,18664.373736551144
56,18660.156947626147
57,18606.833922376143
58,18549.095021251145
59,18545.507619251144
60,18473.141293363668
61,18373.612611863668
62,18356.155250125572
63,18252.477599125574
64,18203.43812062557
65,18038.541583875573
66,17984.37242325057
67,17853.383560251918
68,17719.276387844773
69,17622.96206548763
70,17618.260313695962
71,17598.092174195965
72,17594.96237391263
73,17561.892655129297
74,17546.942945672155
75,17521.17011228882
76,17509.303010955486
77,17408.102540122152
78,17403.108678809655
79,17402.608284309656
80,17386.425587309655
81,17359.04579882632
82,17334.79201432632
83,17306.28371207632
84,17302.105038451322
85,17190.685098695638
86,17122.010457549244
87,17108.157271549244
88,17102.55490209091
89,17088.138215948053
90,17045.810070505744
91,17044.863947505743
92,17043.925682214078
93,17031.833581964078
94,17023.821627964076
95,16941.935455130744
96,16563.678799205743
97,16211.444122153676
98,16059.65799153701
99,16039.095597620342
100,15978.261010120343
101,15866.06618278701
102,15845.67692178701
103,15842.930964939787
104,15750.700912189786
105,15673.967552856453
106,15343.974226499311
107,15320.91903149931
108,15313.521710999312
109,15237.64426249931
110,15233.698768499311
111,15203.05150937074
112,15177.60636112074
113,15118.34058862074
114,15108.469764620739
115,15059.128976120739
116,15030.897572620739
117,15027.082786906454
118,14931.028283150898
119,14914.798207150898
120,14714.822842900898
121,14709.9214869009
122,14678.059367609232
123,14489.097243081438
124,14466.803143331439
125,14462.82153845644
126,14438.322568027867
127,14409.270685944533
128,14308.281407950151
129,14249.318260750151
130,14221.840915750152
131,14123.831629250151
132,14121.665084125152
133,14120.593140458484
134,14104.875763958486
135,14004.600575458484
136,13950.775031708485
137,13907.620213791819
138,13893.729997747701
139,13832.175231664367
140,13805.337066664368
141,13698.877386664368
142,13645.487032393534
143,13637.350476560201
144,13633.5131330602
145,13442.972569675405
146,13437.754219675406
147,13435.446697175406
148,13417.380817300405
149,13407.091258050406
150,13312.657733800406
151,13294.191061300406
152,13257.085591633739
153,13253.37029458374
154,13251.939744833739
155,13217.977379208738
156,13201.46579320874
157,13185.61330843374
158,13176.78456443374
159,13176.449783433738
160,13112.375989211516
161,12965.310773711517
162,12964.591733211517
163,12959.792531266063
164,12950.904375266062
165,12933.722363641062
166,12915.006887841062
167,12913.367451341062
168,12883.249527674396
169,12879.286019674395
170,12869.161277424395
171,12863.756701424396
172,12841.872405711061
173,12831.47864672495
174,12790.100619474952
175,12602.101476075552
176,12601.834211075553
177,12545.870222450552
178,12496.689036400552
179,12406.054978775552
180,12336.329830108885
181,12324.526377858885
182,12307.126200358885
183,12294.154101787457
184,12290.520960787457
185,12280.161082787457
186,12278.985288787457
187,12236.416503313772
188,12158.343527535995
189,12146.429907067246
190,12077.767356567245
191,12049.196283067246
192,12029.000898967244
193,12015.353198217244
194,12004.191838092245
195,11874.754577175578
196,11871.383097008911
197,11868.997684008911
198,11867.677576508911
199,11844.265086133912
200,11823.386226633911
201,11812.812099633911
202,11796.938993633912
203,11794.792553056988
204,11771.392091181988
205,11756.41964868199
206,11755.954871681988
207,11724.157478181989
208,11612.666595213239
209,11534.96714806861
210,11533.520982846389
211,11417.723859891843
212,11414.104617079343
213,11340.299803125497
214,11254.62228445242
215,11248.391819785753
216,11009.109316785753
217,10964.864038285754
218,10952.078669785753
219,10951.367868785754
220,10873.00505009131
221,10810.396158674643
222,10790.054099674642
223,10653.495993348555
224,10536.210834598554
225,10535.549432098554
226,10475.745285348556
227,10474.037756848555
228,10469.868709348555
229,10456.21991476522
230,10412.716073390222
231,10411.458870890221
232,10299.070551890221
233,10193.431442890222
234,10185.61730929022
235,10177.654964248555
236,10165.391296748556
237,10152.811338748555
238,10065.624626521283
239,10061.14154493795
240,10047.204119210677
241,10044.102230627343
242,9987.311051325756
243,9984.031664254328
244,9982.188057254327
245,9980.169085643216
246,9978.40896977655
247,9977.29147277655
248,9960.114089943216
249,9958.276509818215
250,9951.070086234882
251,9930.538515823118
252,9898.777746383463
253,9868.289232383462
254,9861.229364789346
255,9846.059022266618
256,9816.994730802333
257,9806.50598618648
258,9803.50562009557
259,9800.60603209557
260,9799.232647345569
261,9771.953025845569
262,9703.06413834557
263,9701.07219284557
264,9689.66697384557
265,9624.184800095569
266,9619.577993095569
267,9538.254763828903
268,9537.676197828903
269,9510.217831453903
270,9503.07858586088
271,9447.07965608588
272,9323.21550626445
273,9317.402238597451
274,9311.360932430785
275,9230.361373065401
276,9194.82968367024
277,9132.18345967024
278,9078.532611086906
279,8997.944724086907
280,8972.668586003572
281,8950.685968753573
282,8805.555591853572
283,8797.158312853573
284,8764.650293464683
285,8758.414911928969
286,8750.90364692897
287,8738.306208928969
288,8737.09979372897
289,8654.805744321075
290,8653.897269196075
291,8641.832261196074
292,8638.769380196074
293,8631.352157946074
294,8630.579853446074
295,8551.056088557185
296,8531.060803682185
297,8518.250812892711
298,8516.735353392713
299,8494.064162392711
300,8472.09632496414
301,8467.94193746414
302,8461.59921946414
303,8431.90686698337
304,8394.943914883372
305,8291.869121195872
306,8291.517322195872
307,8227.869742056982
308,8220.919006306982
309,8210.367117706983
310,8209.516161706983
311,8208.941456706982
312,8198.590591769482
313,8174.909392769482
314,8174.1283734694825
315,8050.956846633118
316,8047.928766133119
317,8011.300515633119
318,8007.580430633119
319,8006.628119633119
320,7966.2030888755435
321,7962.157908625543
322,7941.838913425543
323,7928.064391030806
324,7917.705613826505
325,7829.505099479283
326,7727.360433748514
327,7708.710198248514
328,7635.886539248514
329,7635.5785052485135
330,7626.157282248514
331,7599.281251800711
332,7557.886668327307
333,7556.918211327307
334,7452.309022354189
335,7434.097398068475
336,7434.002013068475
337,7432.691014151808
338,7430.977192651809
339,7341.700107834347
340,7335.917486834348
341,7265.649427834348
342,7250.8089003343475
343,7137.129300566232
344,7131.775035116231
345,7117.066089259089
346,7073.034142616231
347,7067.362580166232
348,7059.052023366232
349,7023.79271500389
350,6990.70967100389
351,6989.90594050389
352,6984.68235485389
353,6894.4207593742985
354,6884.152551517155
355,6879.726279917155
356,6875.972217417156
357,6875.010485417155
358,6866.514761667156
359,6860.511439667155
360,6859.959740167155
361,6852.108294750488
362,6850.585567750489
363,6840.634916472711
364,6838.866334790892
365,6826.545030790892
366,6820.798073290893
367,6797.002890867083
368,6783.046922944006
369,6777.341573794006
370,6671.405589669345
371,6558.423228586012
372,6555.95790969412
373,6543.64383784412
374,6539.849898073287
375,6538.240562073286
376,6462.614654833286
377,6447.28152696662
378,6424.5305248832865
379,6385.166799049953
380,6379.240715085667
381,6374.394719085667
382,6288.821980704985
383,6288.424058704985
384,6286.853857704986
385,6234.825025954986
386,6110.611001693553
387,6027.20433302438
388,6020.70799852438
389,6019.537311524379
390,5972.171760372865
391,5970.025586675062
392,5959.234687175062
393,5824.521671651253
394,5815.2995586512525
395,5814.067690501253
396,5794.377530801253
397,5790.045869801253
398,5788.553090101253
399,5684.25808164964
400,5682.50564521214
401,5608.67158458714
402,5603.74654958714
403,5598.27728000714
404,5569.185125117259
405,5548.736396117259
406,5547.901300117259
407,5546.703877617259
408,5543.863759700593
409,5502.128170134936
410,5497.599260472655
411,5495.467893352997
412,5394.0455764655
413,5388.680887965499
414,5388.532458965499
415,5385.140739882166
416,5344.277890147932
417,5340.802923411821
418,5237.494158120154
419,5225.692566245154
420,5211.787768099321
421,5184.488807265988
422,5170.535885765988
423,5145.201548091745
424,5134.235590591745
425,5130.238760591745
426,5087.190877091745
427,5068.306462219018
428,4955.047848921838
429,4948.367530421838
430,4947.3173852968375
431,4933.711571671837
432,4932.1622299843375
433,4927.140896484338
434,4918.187617734337
435,4865.114129179338
436,4860.477662734894
437,4857.361001144615
438,4844.168912444616
439,4842.947732677949
440,4841.869636177949
441,4785.62909704295
442,4742.50549104295
443,4677.7023632929495
444,4660.05846204295
445,4650.377878779061
446,4642.357800279061
447,4621.230454818535
448,4618.812727693535
449,4588.035907772482
450,4527.2895457933155
451,4394.407084431307
452,4347.919622964641
453,4239.718716896459
454,4165.485835196459
455,4058.4904412741907
456,4057.194550274191
457,4033.8843739686354
458,4001.897011649191
459,3918.2333401786395
460,3916.1024308286396
461,3901.067499958447
462,3891.636590639003
463,3869.149916187916
464,3866.7678480212494
465,3810.0487995212493
466,3802.5115570212492
467,3784.183038621249
468,3781.9178098030675
469,3749.6766270727403
470,3744.7780844227404
471,3732.8845895584545
472,3724.7279468084544
473,3654.03527836401
474,3517.1348112671985
475,3507.5602362671984
476,3449.9779481213654
477,3366.725485305294
478,3357.051306448151
479,3354.2143357257155
480,3325.875741725715
481,3267.0708298526993
482,3244.9882548169853
483,3127.3146040486895
484,3053.4661541736896
485,3041.6505656736895
486,3030.4572445070226
487,2964.825629757023
488,2887.341038757023
489,2791.024144823688
490,2782.5818447374813
491,2739.8208905283004
492,2731.2683175283005
493,2714.4051202783003
494,2679.4646194486154
495,2620.362250605758
496,2606.2951205511363
497,2588.431940217803
498,2430.0898635539465
499,2340.6289253415093
500,2269.410657808176
501,2268.325236141509
502,2264.9459736415092
503,2260.0926957248425
504,2230.1174954648422
505,2112.582756249606
506,2055.6113188686536
507,2036.4827005700986
508,1963.1132614328355
509,1369.99142080468
510,1340.3099183303211
511,1256.0894020055425
512,1160.672631888946
513,1139.3331131973873
514,1036.461625086858
515,975.4613875332865
516,858.7641104849048
517,723.8987238030957
518,681.7528245350144
519,606.753825829837
520,487.5883191141198
521,376.56648547126235
522,188.28324273563118
523,0
