ext_fraction,Genus,age,mean_age,richness,threatened_species,proportion_threatened,rates
low_ex,Abies,123.052593833334,64.73981279846633,2,1,0.5,0.00393403129738913
low_ex,Acer,22.4989860000003,19.326233931154345,4,0,0,0.008166708892365955
low_ex,Achillea,1.1563805000004,1.1463621962176964,14,0,0,0.21373059526576854
low_ex,Aconitum,16.4878615000003,14.705032298021123,7,3,0.42857142857142855,0.012958586824140672
low_ex,Actaea,16.4878615000003,14.705032298021123,1,0,0,0.012951406488252331
low_ex,Adenocarpus,1.2264120000004,1.215151129153588,9,1,0.1111111111111111,0.19935373556052058
low_ex,Adenostyles,4.11959450000023,3.9959591035625497,2,1,0.5,0.08542489092457978
low_ex,Adiantum,44.0213056250003,33.4522881135582,1,0,0,0.010441995381649386
low_ex,Adonis,44.7180950000003,33.85552458142448,7,0,0,0.009774450077595295
low_ex,Adoxa,11.7375280000002,10.798725347845188,1,1,1,0.005121064955438792
low_ex,Aegilops,0.524660000000227,0.5225850399330817,4,0,0,0.4520867753697952
low_ex,Aegonychon,1.12204200000017,1.1126067172632332,2,1,0.5,0.0825125185118714
low_ex,Aegopodium,11.7228870000001,10.786310857431603,1,0,0,0.05074302893694024
low_ex,Aeluropus,0.710249500000398,0.706453804940492,1,0,0,0.4407976407966377
low_ex,Aethionema,28.1539090000002,23.37939022258776,4,0,0,0.00853421592538825
low_ex,Aethusa,1.77717800000023,1.7536565832903117,1,1,1,0.12111639419742115
low_ex,Agrimonia,28.5289580000003,23.638850150087436,3,0,0,0.009269444401811837
low_ex,Agropyron,1.11377200000017,1.1044745472998465,1,0,0,0.1989336217653358
low_ex,Agrostemma,9.9506513333335,9.265701577489422,1,0,0,0.05120200949802683
low_ex,Agrostis,0.285643750000171,0.2850272732857633,21,2,0.09523809523809525,1.3129672056678254
low_ex,Aira,1.84360700000023,1.8183103823396976,8,0,0,0.28299003121633826
low_ex,Aizoon,9.38571400000023,8.7733785284998,1,0,0,0.02037460003916588
low_ex,Ajuga,8.19203610000034,7.720703478194167,5,0,0,0.06994555341384637
low_ex,Alchemilla,19.4193670000002,17.001257307449514,84,33,0.3928571428571429,0.010976606832245968
low_ex,Alisma,28.3385940000003,23.507296315103773,2,0,0,0.00840944499163498
low_ex,Alkanna,2.09278600000023,2.060266562048428,2,0,0,0.02875573841223828
low_ex,Allagopappus,1.64508090000034,1.624900698475291,1,0,0,0.3456706861592585
low_ex,Alliaria,9.01467600000023,8.447989980255986,1,0,0,0.05691564634013065
low_ex,Allium,42.2570992500003,32.41761889073729,33,4,0.12121212121212122,0.017110040593365544
low_ex,Alnus,27.2796219000002,22.7701641367968,1,0,0,0.018242996765493433
low_ex,Alopecurus,0.888125000000171,0.8822002795040647,7,0,0,0.3917659644666328
low_ex,Althaea,3.96762650000028,3.852783012063993,4,0,0,0.09302519637773865
low_ex,Alyssum,4.52348820000023,4.374975500617246,15,4,0.26666666666666666,0.10002870774500254
low_ex,Amaranthus,15.5112370000002,13.921183443933725,3,0,0,0.02893801769369578
low_ex,Amelanchier,3.83976450000028,3.732076071621537,1,0,0,0.060282026907370785
low_ex,Ammi,12.6607713333334,11.576780099315762,2,0,0,0.06102587271224864
low_ex,Ammoides,10.6233370000001,9.847091507580648,1,0,0,0.03745137493591402
low_ex,Ammophila,0.385415400000171,0.3842941514407044,2,0,0,1.075431491650619
low_ex,Ampelodesmos,0.953450000000227,0.9466259741062372,1,0,0,0.3659085677709852
low_ex,Anabasis,6.89426750000023,6.556603081707572,1,0,0,0.05840081360500868
low_ex,Anacamptis,6.55786950000028,6.251435903934512,1,0,0,0.04653645983661989
low_ex,Anacyclus,1.4227102500004,1.4075847026561812,6,3,0.5,0.18802989151519775
low_ex,Anagallis,7.55408400000017,7.1510543436004514,5,1,0.2,0.020730393995897444
low_ex,Anagyris,10.2493110000003,9.52447152841305,1,0,0,0.02111653076591654
low_ex,Anarrhinum,4.62010700000017,4.465319725489691,4,1,0.25,0.0504114614796333
low_ex,Anchusa,3.72008500000017,3.618892450440813,4,1,0.25,0.03380706423000266
low_ex,Andrachne,37.4395560000002,29.48858557783493,1,0,0,0.010841928476077536
low_ex,Androcymbium,9.58780300000029,8.949921145965057,1,1,1,0.012491836364477073
low_ex,Andropogon,0.438948000000398,0.43749440649542454,1,0,0,0.7438732333360598
low_ex,Androsace,23.9216000000002,20.371491922839137,20,8,0.4,0.019481305401085953
low_ex,Andryala,13.129466666667,11.968200252671345,8,1,0.125,0.029976220702528308
low_ex,Anemone,23.6811993333337,20.19610046751488,7,0,0,0.025402974906660217
low_ex,Angelica,3.68617700000011,3.5867894088439662,4,0,0,0.07263567383501894
low_ex,Anogramma,27.5245460000003,22.94145704092606,1,0,0,0.0074931345176099205
low_ex,Antennaria,3.53542212500023,3.4438692084338216,2,0,0,0.1544229323208123
low_ex,Anthemis,2.17772816666706,2.14254380614625,10,4,0.4,0.22287069335274873
low_ex,Anthericum,23.3195410000003,19.93129547324916,4,0,0,0.019532395311232693
low_ex,Anthoxanthum,0.206548000000171,0.20622541411437753,5,0,0,0.4966648552186098
low_ex,Anthriscus,7.40448900000011,7.016752742051134,2,0,0,0.03098765632869817
low_ex,Anthyllis,4.70452200000023,4.544151000385274,20,3,0.15,0.10451971162593875
low_ex,Antirrhinum,2.05868862500028,2.027209999277253,24,8,0.3333333333333333,0.21384221976325454
low_ex,Apera,0.969230000000171,0.962179301217066,2,1,0.5,0.36674487808400547
low_ex,Aphanes,27.2175405000002,22.72666868414865,7,0,0,0.016229278967835218
