ext_fraction,Genus,age,mean_age,richness,threatened_species,proportion_threatened,ev.dist,mean_lambda,sd_lambda,n_species
low_ex,Abies,237.574622,110.51260879957309,1,1,1,279.1588715891962,0.00688395781829128,NA,1
low_ex,Acer,68.6625540000001,52.0580688385628,2,2,1,130.75536837172115,0.02390079555314626,4.5004977665358395e-4,2
low_ex,Achillea,1.52273099999999,1.5114666767495835,5,5,1,63.65710370967923,0.2750597409935714,NA,1
low_ex,Adenocarpus,2.17569400000005,2.152791491298102,4,3,0.75,64.27221292552954,0.4627945558309093,0.021631435770194857,3
low_ex,Adonis,69.143839,52.33588195575036,5,5,1,131.09470971927135,0.021642669647186114,0.0010434907580894695,2
low_ex,Aegilops,0.582355999999936,0.5806986800686638,4,4,1,63.72939848645406,1.4185984330665293,0.14116251707530159,4
low_ex,Aeluropus,1.373386,1.3642142830152728,1,1,1,64.51854881666016,0.4297575331153088,NA,1
low_ex,Aethionema,60.7463660000001,47.35108923366989,2,2,1,122.8433627823618,0.03008447016145184,NA,1
low_ex,Aethusa,8.18432099999999,7.871817004854707,1,0,0,70.31871099756114,0.08953245616250188,NA,1
low_ex,Agrimonia,51.745716,41.66669506860409,3,3,1,113.83381348473915,0.02592719806946461,NA,1
low_ex,Agropyron,2.35723799999994,2.3303843218593516,1,1,1,65.50427834085167,0.6076078822298414,NA,1
low_ex,Agrostemma,9.95065399999999,9.493444978704636,1,1,1,72.12071161302072,0.12642160864816818,NA,1
low_ex,Agrostis,0.197100999999992,0.19691068775608572,10,9,0.9,63.344147499315106,2.146054708580189,0.4787272435995132,3
low_ex,Aira,1.84360999999999,1.827131221963623,4,4,1,64.99065746435187,0.6756207812616899,0.004111685837768187,2
low_ex,Ajuga,12.6050889999999,11.882474803760672,2,2,1,74.76189441893202,0.10979333943391796,NA,1
low_ex,Alisma,28.338596,24.977725240628207,2,2,1,91.66295903508504,0.01315592099760226,NA,1
low_ex,Alkanna,6.9507400000001,6.7236888899057,1,1,1,69.12224916324648,0.09793209235386142,NA,1
low_ex,Alliaria,9.01468000000005,8.63738902923237,1,1,1,71.11464677472259,0.0966691170046118,NA,1
low_ex,Allium,50.079299,40.573037434071175,21,20,0.9523809523809523,112.87062992066458,0.05874477143857688,0.014268308364662821,9
