step,PD
1,22796.131500194784
2,22777.917321066037
3,22759.092426613537
4,22740.168662097287
5,22723.382570228536
6,22705.253842969785
7,22662.224465636453
8,22661.590546636453
9,22653.224958636452
10,22650.93633213645
11,22623.76091630312
12,22617.61001530312
13,22614.94675130312
14,22476.91245930312
15,22473.226055969786
16,22471.035402469784
17,22469.734831469785
18,22429.783629969785
19,22416.065786469786
20,22404.192778469787
21,22365.904406219786
22,22359.133307219785
23,22357.420917719784
24,22314.614600344787
25,22314.306788344784
26,22237.72799016186
27,22225.66248616186
28,22181.91563566186
29,22156.567028447575
30,21918.992410072573
31,21907.681764072575
32,21891.832775322575
33,21888.418932322573
34,21843.511716655907
35,21841.016842655907
36,21840.399337655905
37,21817.183686155906
38,21809.012164655906
39,21805.424762655908
40,21789.421198655906
41,21768.690726655906
42,21714.521566030908
43,21709.826801030908
44,21676.757082247572
45,21664.88998091424
46,21588.735470414238
47,21588.23507591424
48,21442.12496291424
49,21425.94226591424
50,21398.77177991424
51,21384.35509377138
52,21342.026948329076
53,21341.080825329074
54,21259.194652495742
55,21100.577849662408
56,21093.40113266241
57,21086.24558453741
58,21065.85632353741
59,21061.092144704075
60,20968.706638704076
61,20892.829190204076
62,20888.883696204073
63,20861.41769128741
64,20802.151918787407
65,20792.28109478741
66,20764.049691287408
67,20759.14833528741
68,20748.30963478741
69,20719.505220787407
70,20717.192480987407
71,20692.693510558838
72,20672.08403905884
73,20571.094761064454
74,20543.617416064455
75,20541.168504731122
76,20539.924321731123
77,20539.081021731123
78,20539.04143573112
79,20538.60451673112
80,20522.88714023112
81,20490.17358648112
82,20482.74097335612
83,20455.90280835612
84,20402.077264606123
85,20295.617584606123
86,20288.913594356123
87,20280.77703852279
88,20279.76151985612
89,20089.220956471327
90,20086.913433971327
91,20080.929194971326
92,20042.533335096326
93,20019.909177096328
94,19872.843961596325
95,19863.955805596328
96,19833.83788192966
97,19833.53679192966
98,19828.13221592966
99,19818.65613392966
100,19818.38886892966
101,19762.42488030466
102,19709.757937471328
103,19697.954485221326
104,19696.686878721328
105,19678.373695221326
106,19674.740554221327
107,19671.472820221326
108,19665.619289221326
109,19661.874372221326
110,19658.963305096328
111,19639.345513596327
112,19570.682963096326
113,19567.267572596327
114,19538.696499096328
115,19538.055443596328
116,19517.860059496328
117,19506.698699371325
118,19502.780993260214
119,19499.855350260215
120,19496.364133760217
121,19494.336418760216
122,19486.096604760216
123,19485.830880760215
124,19349.738758010215
125,19347.218485510217
126,19338.389741510215
127,19322.493015260217
128,19306.596289010216
129,19300.841642010215
130,19299.521534510215
131,19286.461138760216
132,19265.582279260216
133,19262.953588760214
134,19247.080482760215
135,19244.934042183293
136,19215.712092183294
137,19213.00021318329
138,19211.137198183293
139,19210.67242118329
140,19200.62604243329
141,19089.135159464542
142,19006.16228213121
143,19001.91524433121
144,19000.469079108985
145,19000.40888810899
146,18976.487288108987
147,18960.508243608987
148,18874.83072493591
149,18870.61936293591
150,18867.85265493591
151,18601.13644751091
152,18600.24901351091
153,18599.37974051091
154,18360.09723751091
155,18358.28581751091
156,18314.040539010908
157,18313.88139851091
158,18301.09603001091
159,18300.38522901091
160,18289.78906801091
161,18283.36846801091
162,18283.13520101091
163,18256.85072301091
164,18252.94221501091
165,18251.15111001091
166,18250.22060001091
167,18246.03241401091
168,18241.52773351091
169,18233.33338451091
170,18232.75103013591
171,18228.82925843591
172,18224.66021093591
173,18216.95463993591
174,18173.45079856091
175,18172.193596060908
176,18163.98417206091
177,18151.720504560908
178,18150.61169756091
179,18146.660981727575
180,18143.240525227575
181,18053.610754227575
182,18051.903225727576
183,18050.33961456091
184,18043.588594560908
185,18041.74498756091
186,18021.24617981091
187,18020.39094656091
188,18019.27344956091
189,18011.897999560908
190,18009.16143056091
191,17970.63913906091
192,17970.08846306091
193,17959.11612918591
194,17952.413375185908
195,17947.92181043591
196,17943.57478793591
197,17930.25370303591
198,17901.189411571624
199,17899.816026821623
200,17872.536405321625
201,17869.758462654958
202,17861.15894415496
203,17792.270056654957
204,17779.991598154957
205,17777.99965265496
206,17766.59443365496
207,17701.112259904956
208,17696.505452904956
209,17695.926886904956
210,17695.704851404957
211,17631.631057182734
212,17627.564192682734
213,17624.714503682735
214,17618.334703682736
215,17609.011838682734
216,17587.358794432734
217,17586.847332432735
218,17578.801595932735
219,17550.020837932734
220,17539.695755861307
221,17538.368110861305
222,17534.181528611305
223,17532.92899111131
224,17525.789745518283
225,17523.743870018283
226,17523.60618601828
227,17522.483328018283
228,17511.88453668495
229,17511.84806268495
230,17493.11107248495
231,17474.660722318284
232,17472.53656531828
233,17451.236856818283
234,17421.31988311828
235,17420.143783618285
236,17419.835753368283
237,17419.388032201616
238,17416.48119870162
239,17415.789407701617
240,17396.776153201616
241,17361.244463806455
242,17354.031871306455
243,17345.325921306456
244,17340.876398306456
245,17334.456775306455
246,17333.692044931457
247,17333.536078431454
248,17155.401356431455
249,17155.204259431455
250,17118.278751431455
251,17117.747581431457
252,17117.356483431457
253,17094.72607251479
254,17014.13818551479
255,17003.91382901479
256,17002.57821101479
257,16967.53666381479
258,16966.709113814788
259,16964.68439981479
260,16819.55402291479
261,16812.191346914788
262,16811.76017191479
263,16747.78025541479
264,16747.570561314787
265,16747.44447331479
266,16747.28926181479
267,16738.89198281479
268,16719.15803693979
269,16718.56508443979
270,16716.124345439788
271,16712.760400439787
272,16711.76966043979
273,16704.68598943979
274,16704.37153543979
275,16697.28537243979
276,16687.19865368979
277,16685.717269689787
278,16674.69765793979
279,16658.31559993979
280,16650.80433493979
281,16650.34378343979
282,16606.75484843979
283,16596.94601643979
284,16573.271068606457
285,16565.900207606453
286,16562.853589606457
287,16561.596962439788
288,16561.56099843979
289,16560.35458323979
290,16540.05524861479
291,16466.562113920343
292,16465.653638795346
293,16465.632500295345
294,16465.394755045345
295,16452.789668045345
296,16438.407375545343
297,16435.344494545345
298,16427.927272295343
299,16400.200040545344
300,16333.755095545344
301,16331.057432045343
302,16313.184823087011
303,16312.977678872725
304,16309.643574872725
305,16306.385751872725
306,16292.704272872725
307,16277.568136747725
308,16275.581551247726
309,16270.608231747725
310,16270.171109747725
311,16262.464855247725
312,16259.707224247724
313,16246.897233458252
314,16215.340830858251
315,16206.326154858252
316,16205.604376858251
317,16197.588888858252
318,16187.20639985825
319,16186.800527358251
320,16182.189386358252
321,16174.762307608251
322,16165.376772064134
323,16159.946770064134
324,16147.349332064134
325,16145.833872564133
326,16144.642752564134
327,16142.084168564134
328,16136.363011414134
329,16136.081448414134
330,16133.685719664134
331,16132.085541664133
332,16126.434887664134
333,16122.773237164134
334,16122.422426414134
335,16122.130832414134
336,16114.020398414134
337,16111.927514289133
338,16107.570847289133
339,16106.479788289134
340,16099.713335289134
341,16098.298339289133
342,16090.928194789134
343,16084.059092039133
344,16080.560226039133
345,16080.490832039133
346,16080.316840039133
347,15977.242046351634
348,15977.154361351633
349,15976.802562351633
350,15961.710799351633
351,15942.469402851633
352,15940.458982101634
353,15939.973325101633
354,15939.850545851634
355,15932.556665851635
356,15932.213704851634
357,15931.393495851633
358,15924.442760101634
359,15916.675281976633
360,15916.350030096633
361,15916.034959976634
362,15892.353760976634
363,15874.287056976633
364,15870.448541976633
365,15869.667522676633
366,15865.360691176633
367,15742.18916434027
368,15716.39267884027
369,15715.89745584027
370,15712.86937534027
371,15676.24112484027
372,15674.75627184027
373,15672.760208840271
374,15669.04012384027
375,15635.39994134027
376,15634.53767834027
377,15626.41873359027
378,15625.58985209027
379,15622.38311109027
380,15614.45303890277
381,15612.22416390277
382,15607.16861290277
383,15606.21630190277
384,15606.14641090277
385,15570.94629500277
386,15563.552934336103
387,15562.350105336103
388,15542.031110136104
389,15538.449301636103
390,15531.500431636103
391,15530.918897636104
392,15517.144375241367
393,15507.613378741367
394,15421.120489241366
395,15418.247761241366
396,15414.103647241367
397,15400.238542241366
398,15336.371764491367
399,15317.721528991367
400,15299.317740991366
401,15298.822520491367
402,15298.474373491366
403,15225.650714491367
404,15223.360241491368
405,15222.795296658034
406,15222.487262658033
407,15221.264246908033
408,15221.099234408033
409,15218.078276908032
410,15208.657053908033
411,15190.618708908034
412,15187.654926908033
413,15186.038682908033
414,15158.580316533033
415,15148.221539328732
416,15146.057212828733
417,15144.965599528732
418,15142.454092528733
419,15141.351401528733
420,15141.265262528732
421,15130.651081028733
422,15089.588839728733
423,15088.620382728732
424,15082.720555728733
425,15066.244021728733
426,15063.736225728731
427,15062.94524623873
428,15062.125444728732
429,15039.233853728732
430,15037.920974728731
431,15032.860797728732
432,15032.750561728732
433,15018.270450478733
434,15018.182093978732
435,15014.607941978733
436,15014.192415978732
437,15007.334346509982
438,15001.560167509982
439,15000.668519509982
440,14999.045195509982
441,14930.820672754428
442,14917.227377254427
443,14907.236889154427
444,14904.710702321094
445,14858.522793071093
446,14858.381678904427
447,14854.785505904427
448,14854.510807904428
449,14854.415422904427
450,14849.643649404426
451,14669.015367005028
452,14668.187915005028
453,14666.474093505029
454,14656.947289255027
455,14630.721090755029
456,14629.301276755028
457,14623.518655755028
458,14619.947795255028
459,14604.265094755028
460,14596.180046755027
461,14576.914380671695
462,14573.896495671695
463,14555.869799671695
464,14531.200858671695
465,14512.072136871695
466,14494.757141705028
467,14486.904770205028
468,14486.618746705028
469,14486.208719205028
470,14484.803927205028
471,14469.963399705028
472,14456.992837205027
473,14456.931586205028
474,14455.019222205028
475,14450.692383205029
476,14445.553047605028
477,14445.025949605028
478,14443.924735605027
479,14437.883429438361
480,14433.421465438361
481,14431.014870438361
482,14430.900262938361
483,14430.676586438361
484,14316.996986670245
485,14307.836564670246
486,14305.124773670246
487,14299.556548670245
488,14298.781381670246
489,14297.358083211911
490,14289.788097545244
491,14284.271969545245
492,14240.240022902388
493,14238.174653513499
494,14237.4002675135
495,14235.035597513499
496,14232.620587980166
497,14226.057167730167
498,14225.839100730165
499,14225.308398730165
500,14225.071804230165
501,14224.777390230165
502,14223.895150230166
503,14194.202797749396
504,14161.119753749397
505,14160.316023249397
506,14153.861943249396
507,14149.152025749398
508,14147.461672749396
509,14147.046583749398
510,14146.905929749397
511,14129.146626249396
512,14027.946155416063
513,14017.677947558921
514,14010.01951505892
515,13978.57502355892
516,13977.48040393392
517,13974.33215143392
518,13970.57808893392
519,13969.35681993392
520,13969.115117933921
521,13958.314577933921
522,13951.53327182281
523,13951.321278656143
524,13950.580239406143
525,13944.576917406142
526,13930.446998506142
527,13930.084830506143
528,13927.091508006142
529,13923.956209960688
530,13922.433482960689
531,13901.634669085688
532,13889.920021585689
533,13886.661720252356
534,13885.508952252354
535,13873.187648252355
536,13819.527830272626
537,13817.989607147625
538,13812.242649647626
539,13811.419491647624
540,13790.297474272626
541,13777.835656272626
542,13763.126710415483
543,13732.286264915483
544,13731.264879415483
545,13730.822292415482
546,13725.952608415482
547,13725.463820415482
548,13724.595016415482
549,13710.639048492405
550,13707.232118492406
551,13694.174854992405
552,13693.294596825739
553,13692.33286482574
554,13681.748142159073
555,13677.267098659073
556,13614.961705575739
557,13523.29594032574
558,13520.830621433846
559,13517.641169933846
560,13513.945989433847
561,13501.003328433846
562,13500.556132433847
563,13500.254038683846
564,13499.339507017181
565,13498.92541101718
566,13482.41503251718
567,13481.81488101718
568,13480.20554501718
569,13476.77818251718
570,13465.69286026718
571,13390.06695302718
572,13384.41631752718
573,13382.65467727718
574,13367.321549410513
575,13344.570547327181
576,13343.21215382718
577,13310.70413443829
578,13306.277862838291
579,13304.929771838291
580,13293.18246683829
581,13290.62313683829
582,13290.170594588291
583,13287.068706004959
584,13285.482487004958
585,13280.636491004958
586,13279.215520838292
587,13271.09857633829
588,13214.067244504959
589,13160.416395921624
590,13159.267736421625
591,13157.697535421625
592,13155.986641421625
593,13153.449792671625
594,13143.398558921624
595,13139.844781421625
596,13129.338729621624
597,13099.399499954958
598,13094.363164633529
599,13092.299996966862
600,13085.585613966863
601,13079.089279466863
602,13055.524353766863
603,13008.158802615348
604,13006.642662615348
605,12998.941329206256
606,12991.584469331256
607,12980.793569831256
608,12846.080554307448
609,12845.748107307447
610,12844.086069307446
611,12816.432789807448
612,12815.905264307446
613,12809.228024407446
614,12808.950074407447
615,12808.453793907447
616,12796.980217407447
617,12775.379864907447
618,12766.157751907447
619,12746.467592207448
620,12728.263238707446
621,12723.931577707448
622,12716.967778457447
623,12715.474998757447
624,12695.479713882447
625,12591.184705430835
626,12590.014360514167
627,12529.830206060322
628,12529.157706310321
629,12458.216966043654
630,12453.291931043655
631,12447.822661463655
632,12447.294999463655
633,12440.668672463655
634,12440.412350463655
635,12343.512676813654
636,12323.718278146987
637,12303.269549146988
638,12302.957498146989
639,12302.075281146988
640,12301.240185146988
641,12281.950818146988
642,12280.753395646989
643,12280.043263646989
644,12279.973942646988
645,12277.452991646987
646,12218.248455646988
647,12216.595299646988
648,12215.729096035877
649,12214.850338035876
650,12214.621461035877
651,12213.876795035878
652,12172.14120547022
653,12071.027153733377
654,12064.89858048338
655,12060.284359816711
656,12058.759807650045
657,12056.034219650044
658,12055.026566000044
659,12051.342708666712
660,12040.415448666712
661,12038.302599666711
662,12036.091542666712
663,12029.97972316671
664,11956.145662541712
665,11952.442350041712
666,11951.294888041712
667,11947.512351041712
668,11942.14766254171
669,11941.999233541712
670,11938.607514458377
671,11935.809656458378
672,11583.57497940631
673,11583.35117940631
674,11576.93361240631
675,11555.17337665631
676,11555.11644265631
677,11554.65632965631
678,11551.181362920199
679,11480.306727563056
680,11468.505135688056
681,11468.027963188057
682,11460.831822188056
683,11454.90573822377
684,11451.00918222377
685,11447.46432222377
686,11375.415529079142
687,11365.944385579141
688,11365.565748579142
689,11362.070409329142
690,11345.62016049581
691,11334.65420299581
692,11330.657372995809
693,11328.481681829142
694,11285.433798329143
695,11280.210212679141
696,11256.765598429143
697,11255.104836429142
698,11252.570460429142
699,11241.214443262475
700,11237.118880262477
701,11235.340079262476
702,11234.985512262476
703,11234.425177262476
704,11233.766527429143
705,11233.525221429143
706,11233.113905429142
707,11231.501533595809
708,11225.784653095809
709,11219.10433459581
710,11218.78092159581
711,11214.66528609581
712,11197.21753009581
713,11183.611716470808
714,11042.356371470809
715,11040.80702978331
716,11038.13286028331
717,11035.496969949976
718,11031.227311949975
719,11030.087116949975
720,11019.178248449976
721,11017.409666768157
722,11016.750521768157
723,11013.916627268158
724,11004.963348518157
725,11002.961562518158
726,10994.659769768157
727,10986.80832435149
728,10985.08172460149
729,10915.937888244349
730,10915.377139244349
731,10904.528427244348
732,10833.294207911014
733,10828.172863411015
734,10826.065347196729
735,10819.953510196729
736,10809.40162159673
737,10790.517206724002
738,10780.428684860366
739,10774.387647360365
740,10773.141360860365
741,10772.340581360366
742,10767.704114915921
743,10764.836293915921
744,10761.996175999255
745,10751.013889427826
746,10654.535202427825
747,10563.901144802825
748,10563.532996802825
749,10557.208813219493
750,10556.987311219493
751,10552.782956719493
752,10542.503165219492
753,10529.566404719491
754,10529.342190219491
755,10527.896353319493
756,10527.440462819492
757,10426.85922356381
758,10425.386457447144
759,10418.657438643573
760,10418.105739143572
761,10398.101830731808
762,10397.605417731807
763,10396.117337731808
764,10380.175757981808
765,10323.935218846807
766,10322.099292846808
767,10278.975686846808
768,10265.451954596809
769,10259.102033846808
770,10257.578037846808
771,10226.930778718237
772,10162.127650968238
773,10161.766554968237
774,10161.491607968237
775,10143.847706718236
776,10081.323700030736
777,10080.332225030737
778,10050.935645280737
779,10050.724332780737
780,9975.339204280737
781,9969.667641830736
782,9944.391503747403
783,9934.889588747403
784,9926.721136747403
785,9923.736268580737
786,9923.061994580738
787,9916.558494580737
788,9908.538416080737
789,9908.373093580736
790,9906.008426393237
791,9897.762139393237
792,9887.197189857005
793,9882.10200332129
794,9858.30682089748
795,9856.489118397481
796,9835.361772936954
797,9829.729813686954
798,9827.312086561955
